,Unnamed: 0,Kanton_name,GDP_2019
0,0,Zürich,155290.74181
1,1,Bern,82365.69844
2,2,Luzern,28304.31765
3,3,Uri,2000.81065
4,4,Schwyz,9954.6804
5,5,Obwalden,2630.1019
6,6,Nidwalden,3025.56778
7,7,Glarus,2891.24057
8,8,Zug,20308.51413
9,9,Freiburg,19459.65648
10,10,Solothurn,18620.63281
11,11,Basel-Stadt,38316.71638
12,12,Basel-Landschaft,20816.19197
13,13,Schaffhausen,7293.68099
14,14,Appenzell A. Rh.,3254.50915
15,15,Appenzell I. Rh.,1046.87968
16,16,St. Gallen,38961.85693
17,17,Graubünden,14937.00048
18,18,Aargau,44509.24537
19,19,Thurgau,17358.08306
20,20,Tessin,30990.05371
21,21,Waadt,58635.43105
22,22,Wallis,19819.03323
23,23,Neuenburg,16398.4668
24,24,Genf,54591.22122
25,25,Jura,5098.25717
