,Unnamed: 0,Number_of_commune,Name_of_commune,Residents,Population_change_perc,Population_density_sqkm
0,0,1,Aeugst am Albis,1981,8.6074561404,250.4424778761
1,1,2,Affoltern am Albis,12303,10.9277792805,1161.7563739377
2,2,3,Bonstetten,5572,8.0054274084,749.932705249
3,3,4,Hausen am Albis,3751,11.6369047619,275.8088235294
4,4,5,Hedingen,3778,10.7917888563,578.5604900459
5,5,6,Kappel am Albis,1221,33.0065359477,154.1666666667
6,6,7,Knonau,2378,32.1111111111,367.542503864
7,7,8,Maschwanden,645,4.7077922078,137.526652452
8,8,9,Mettmenstetten,5200,22.5547961348,399.07904835
9,9,10,Obfelden,5721,22.0870678617,758.7533156499
10,10,11,Ottenbach,2588,7.3858921162,515.5378486056
11,11,12,Rifferswil,1129,25.4444444444,173.425499232
12,12,13,Stallikon,3755,18.7915216704,312.3960066556
13,13,14,Wettswil am Albis,5240,15.980522355,1389.9204244032
14,14,21,Adlikon,698,20.9705372617,106.0790273556
15,15,22,Benken (ZH),845,5.8897243108,149.2932862191
16,16,23,Berg am Irchel,577,-3.67278798,82.3109843081
17,17,24,Buch am Irchel,979,12.7880184332,95.8863858962
18,18,25,Dachsen,1916,-1.1861784425,709.6296296296
19,19,26,Dorf,658,4.1139240506,118.345323741
20,20,27,Feuerthalen,3614,3.553008596,1457.2580645161
21,21,28,Flaach,1420,15.7294213529,139.6263520157
22,22,29,Flurlingen,1477,3.431372549,612.8630705394
23,23,30,Andelfingen,2247,20.8064516129,333.3827893175
24,24,31,Henggart,2234,0.9489380931,737.2937293729
25,25,32,Humlikon,485,6.1269146608,131.7934782609
26,26,33,Kleinandelfingen,2074,-0.5275779376,201.5549076774
27,27,34,Laufen-Uhwiesen,1761,16.5453342158,280.4140127389
28,28,35,Marthalen,1918,-0.6732263076,135.7395612173
29,29,37,Ossingen,1668,23.7388724036,127.4255156608
30,30,38,Rheinau,1316,1.0752688172,147.3684210526
31,31,39,Thalheim an der Thur,938,14.6699266504,145.652173913
32,32,40,Trüllikon,1061,6.8479355488,110.9832635983
33,33,41,Truttikon,463,-2.5263157895,104.9886621315
34,34,43,Volken,380,22.5806451613,118.75
35,35,51,Bachenbülach,4180,7.5933075933,969.837587007
36,36,52,Bassersdorf,11824,6.7437031687,1309.4130675526
37,37,53,Bülach,21372,22.0489977728,1328.2784338098
38,38,54,Dietlikon,7847,11.100099108,1846.3529411765
39,39,55,Eglisau,5339,26.6065923642,589.293598234
40,40,56,Embrach,9421,6.3318284424,741.811023622
41,41,57,Freienstein-Teufen,2389,4.1412380122,284.4047619048
42,42,58,Glattfelden,5217,22.4360478761,424.1463414634
43,43,59,Hochfelden,1982,-0.7014028056,321.2317666126
44,44,60,Höri,2872,16.9857433809,599.5824634656
45,45,61,Hüntwangen,1057,11.3804004215,215.2749490835
46,46,62,Kloten,20130,11.6472545757,1044.6289569279
47,47,63,Lufingen,2417,37.1736662883,466.6023166023
48,48,64,Nürensdorf,5602,8.1467181467,557.96812749
49,49,65,Oberembrach,1121,15.210688592,109.2592592593
50,50,66,Opfikon,21014,34.9386759134,3759.2128801431
51,51,67,Rafz,4661,15.801242236,436.4232209738
52,52,68,Rorbas,2885,23.3433091065,649.7747747748
53,53,69,Wallisellen,16841,23.3411454519,2623.2087227414
54,54,70,Wasterkingen,563,0.7155635063,142.1717171717
55,55,71,Wil (ZH),1474,14.6189735614,164.6927374302
56,56,72,Winkel,4535,15.3944020356,559.186189889
57,57,81,Bachs,592,3.1358885017,64.8411829135
58,58,82,Boppelsen,1432,11.1801242236,361.6161616162
59,59,83,Buchs (ZH),6565,18.7375655634,1124.1438356164
60,60,84,Dällikon,4177,15.6743284409,926.1640798226
61,61,85,Dänikon,1861,-2.5654450262,648.4320557491
62,62,86,Dielsdorf,5966,5.7239057239,1016.3543441227
63,63,87,Hüttikon,952,43.8066465257,598.7421383648
64,64,88,Neerach,3175,6.686827957,525.6622516556
65,65,89,Niederglatt,4993,8.8985823337,1386.9444444444
66,66,90,Niederhasli,9345,9.3878028796,826.9911504425
67,67,91,Niederweningen,3073,12.52288539,448.6131386861
68,68,92,Oberglatt,7228,23.3236649036,876.1212121212
69,69,93,Oberweningen,1790,2.520045819,362.3481781377
70,70,94,Otelfingen,2982,21.4169381107,417.0629370629
71,71,95,Regensberg,469,-4.4806517312,197.8902953587
72,72,96,Regensdorf,18540,12.0444793618,1268.1258549932
73,73,97,Rümlang,8233,22.4419988102,663.4165995165
74,74,98,Schleinikon,758,5.7182705718,133.4507042254
75,75,99,Schöfflisdorf,1377,1.6236162362,343.391521197
76,76,100,Stadel,2293,15.9838138594,177.889837083
77,77,101,Steinmaur,3609,13.597733711,384.3450479233
78,78,102,Weiach,1903,92.8064842958,198.643006263
79,79,111,Bäretswil,5053,5.1175369253,227.7151870212
80,80,112,Bubikon,7344,11.5092620711,632.5581395349
81,81,113,Dürnten,7606,13.9988009592,744.2270058708
82,82,114,Fischenthal,2516,9.2488059053,83.2010582011
83,83,115,Gossau (ZH),10280,7.5201338772,562.9791894852
84,84,116,Grüningen,3641,15.1122352197,414.6924829157
85,85,117,Hinwil,11277,8.6520859428,506.1490125673
86,86,118,Rüti (ZH),12286,2.6742436905,1221.2723658052
87,87,119,Seegräben,1430,10.5100463679,379.3103448276
88,88,120,Wald (ZH),10096,12.515323749,399.525128611
89,89,121,Wetzikon (ZH),24990,12.9848991771,1486.6151100535
90,90,131,Adliswil,18944,14.798206278,2438.0952380952
91,91,135,Kilchberg (ZH),8923,19.1480838563,3458.527131783
92,92,136,Langnau am Albis,7727,6.2568756876,891.2341407151
93,93,137,Oberrieden,5002,1.1936071212,1792.8315412186
94,94,138,Richterswil,13632,10.3716298275,1810.3585657371
95,95,139,Rüschlikon,6092,16.4818355641,2079.180887372
96,96,141,Thalwil,18139,5.379654912,3298.0
97,97,151,Erlenbach (ZH),5592,6.3522251807,1934.9480968858
98,98,152,Herrliberg,6460,6.1975998685,718.5761957731
99,99,153,Hombrechtikon,8775,9.7835606155,720.4433497537
100,100,154,Küsnacht (ZH),14564,7.8734908525,1178.3171521036
101,101,155,Männedorf,11359,8.7818425589,2381.3417190776
102,102,156,Meilen,14335,14.0322965556,1200.5862646566
103,103,157,Oetwil am See,4840,10.6032906764,792.1440261866
104,104,158,Stäfa,14718,5.5659159375,1713.3876600699
105,105,159,Uetikon am See,6201,8.1255448997,1792.1965317919
106,106,160,Zumikon,5486,7.7164735912,1001.094890511
107,107,161,Zollikon,13067,8.5299003322,1664.5859872612
108,108,172,Fehraltorf,6485,10.2328743838,684.7940865892
109,109,173,Hittnau,3664,5.3479010926,282.9343629344
110,110,176,Lindau,5605,11.9209265176,467.4728940784
111,111,177,Pfäffikon,12164,14.4631598758,623.4751409534
112,112,178,Russikon,4393,7.2771672772,308.7139845397
113,113,180,Weisslingen,3364,4.3100775194,262.6073380172
114,114,181,Wila,1977,2.1705426357,215.1251360174
115,115,182,Wildberg,985,1.966873706,93.2765151515
116,116,191,Dübendorf,29303,18.0097458822,2151.4684287812
117,117,192,Egg,8796,9.9637454682,605.3682037164
118,118,193,Fällanden,8689,8.8574292157,1361.9122257053
119,119,194,Greifensee,5385,5.6296586897,2372.2466960352
120,120,195,Maur,10468,9.8195551825,708.7339201083
121,121,196,Mönchaltorf,3898,12.6915293437,513.5704874835
122,122,197,Schwerzenbach,5170,16.5464382326,1973.2824427481
123,123,198,Uster,35007,8.4983728498,1228.7469287469
124,124,199,Volketswil,18640,6.7583046964,1327.6353276353
125,125,200,Wangen-Brüttisellen,7967,5.5931080186,1005.9343434343
126,126,211,Altikon,698,15.5629139073,90.6493506494
127,127,213,Brütten,2067,7.3208722741,313.1818181818
128,128,214,Dägerlen,1037,3.184079602,130.4402515723
129,129,215,Dättlikon,776,4.1610738255,269.4444444444
130,130,216,Dinhard,1684,20.8034433286,238.189533239
131,131,218,Ellikon an der Thur,901,1.6930022573,179.4820717131
132,132,219,Elsau,3647,9.5524181436,451.9206939281
133,133,220,Hagenbuch,1085,-1.6319129646,133.4563345633
134,134,221,Hettlingen,3169,6.9524130948,537.1186440678
135,135,223,Neftenbach,5718,9.3516924842,379.4293297943
136,136,224,Pfungen,3900,31.2689330192,781.5631262525
137,137,225,Rickenbach (ZH),2749,9.5655639697,456.6445182724
138,138,226,Schlatt (ZH),789,7.4931880109,87.9598662207
139,139,227,Seuzach,7440,5.3675116839,984.126984127
140,140,228,Turbenthal,4883,16.1789198192,193.6161776368
141,141,230,Winterthur,113173,11.7118095313,1662.5973262818
142,142,231,Zell (ZH),6299,17.5625233296,485.6592135698
143,143,241,Aesch (ZH),1669,61.4119922631,318.5114503817
144,144,242,Birmensdorf (ZH),6724,14.3148588915,588.7915936953
145,145,243,Dietikon,27746,17.4483576024,2970.6638115632
146,146,244,Geroldswil,4934,5.5852771239,2556.4766839378
147,147,245,Oberengstringen,6738,5.5120576261,3133.9534883721
148,148,246,Oetwil an der Limmat,2515,9.4906399652,907.9422382671
149,149,247,Schlieren,18791,16.3025314105,2851.4415781487
150,150,248,Uitikon,4668,20.0617283951,1065.7534246575
151,151,249,Unterengstringen,3934,16.9441141498,1177.8443113773
152,152,250,Urdorf,9981,10.9739826551,1316.7546174143
153,153,251,Weiningen (ZH),4813,13.3003766478,894.6096654275
154,154,261,Zürich,420217,12.7019205754,4778.9946548391
155,155,292,Stammheim,2790,5.5219364599,116.4440734558
156,156,293,Wädenswil,24624,5.9279015745,690.9090909091
157,157,294,Elgg,4942,12.7281021898,202.6240262403
158,158,295,Horgen,22992,9.1997150321,745.7671099578
159,159,296,Illnau-Effretikon,17333,8.1892516073,526.678821027
160,160,297,Bauma,4873,7.5717439294,165.018625127
161,161,298,Wiesendangen,6594,12.7179487179,343.9749608764
162,162,301,Aarberg,4632,13.3072407045,584.1109709962
163,163,302,Bargen (BE),1025,4.5918367347,130.4071246819
164,164,303,Grossaffoltern,3031,8.950395399,200.9946949602
165,165,304,Kallnach,2204,3.9132484677,122.5806451613
166,166,305,Kappelen,1414,12.4900556881,128.8969917958
167,167,306,Lyss,15525,13.1065131867,1046.8644639245
168,168,307,Meikirch,2473,5.4584221748,241.7399804497
169,169,309,Radelfingen,1287,9.1603053435,87.4915023793
170,170,310,Rapperswil (BE),2560,1.2257809411,113.3746678477
171,171,311,Schüpfen,3773,10.7425887878,190.1713709677
172,172,312,Seedorf (BE),3084,2.8342780927,147.7719214183
173,173,321,Aarwangen,4620,10.5263157895,466.6666666667
174,174,322,Auswil,440,-4.1394335512,95.2380952381
175,175,323,Bannwil,661,-1.7830609212,138.2845188285
176,176,324,Bleienbach,713,8.8549618321,125.3075571178
177,177,325,Busswil bei Melchnau,181,-9.9502487562,63.2867132867
178,178,326,Gondiswil,728,2.5352112676,77.4468085106
179,179,329,Langenthal,16066,4.6985988921,759.9810785241
180,180,331,Lotzwil,2628,6.0960839725,422.5080385852
181,181,332,Madiswil,3275,5.3393374075,141.346568839
182,182,333,Melchnau,1489,-3.3116883117,144.8443579767
183,183,335,Oeschenbach,221,-8.2987551867,56.3775510204
184,184,336,Reisiswil,174,-10.7692307692,86.5671641791
185,185,337,Roggwil (BE),4056,5.625,517.3469387755
186,186,338,Rohrbach,1484,1.5742642026,363.7254901961
187,187,339,Rohrbachgraben,394,-7.9439252336,60.9907120743
188,188,340,Rütschelen,566,-2.0761245675,142.2110552764
189,189,341,Schwarzhäusern,525,9.375,138.5224274406
190,190,342,Thunstetten,3425,12.5534012488,354.5548654244
191,191,344,Ursenbach,879,-5.4838709677,95.8560523446
192,192,345,Wynau,1660,7.7922077922,327.41617357
193,193,351,Bern,134591,8.208649231,2607.3421154591
194,194,352,Bolligen,6286,3.4562211982,379.3602896801
195,195,353,Bremgarten bei Bern,4369,4.1974719771,2299.4736842105
196,196,354,Kirchlindach,3214,12.8115128115,268.72909699
197,197,355,Köniz,42044,8.2966282874,824.2305430308
198,198,356,Muri bei Bern,13023,3.1524752475,1706.8152031455
199,199,357,Oberbalm,849,-1.8497109827,68.5230024213
200,200,358,Stettlen,3137,7.8748280605,896.2857142857
201,201,359,Vechigen,5345,15.9939236111,215.3505237712
202,202,360,Wohlen bei Bern,9266,3.8789237668,255.1211453744
203,203,361,Zollikofen,10471,6.5100193266,1942.6716141002
204,204,362,Ittigen,11306,3.2888726475,2691.9047619048
205,205,363,Ostermundigen,17772,15.1185386708,2981.8791946309
206,206,371,Biel/Bienne,55602,8.5912934789,2623.9735724398
207,207,372,Evilard,2654,11.9358920287,717.2972972973
208,208,381,Arch,1629,6.4010450686,255.329153605
209,209,382,Büetigen,870,10.4060913706,240.9972299169
210,210,383,Büren an der Aare,3584,10.1752228712,284.4444444444
211,211,385,Diessbach bei Büren,994,11.5600448934,157.0300157978
212,212,386,Dotzigen,1478,10.960960961,349.4089834515
213,213,387,Lengnau (BE),5280,14.7077992614,712.5506072874
214,214,388,Leuzigen,1289,8.0469404862,125.3891050584
215,215,389,Meienried,50,-5.6603773585,76.9230769231
216,216,390,Meinisberg,1298,2.1243115657,295.6719817768
217,217,391,Oberwil bei Büren,901,12.625,133.6795252226
218,218,392,Pieterlen,4651,31.272932543,557.005988024
219,219,393,Rüti bei Büren,857,2.881152461,131.8461538462
220,220,394,Wengi,608,-1.1382113821,85.8757062147
221,221,401,Aefligen,1096,9.0547263682,537.2549019608
222,222,402,Alchenstorf,576,1.230228471,87.6712328767
223,223,403,Bäriswil,1046,5.1256281407,383.1501831502
224,224,404,Burgdorf,16587,7.8899440614,1066.0025706941
225,225,405,Ersigen,2039,5.7572614108,131.8887451488
226,226,406,Hasle bei Burgdorf,3326,7.1175523349,151.9415258109
227,227,407,Heimiswil,1636,0.0,70.0342465753
228,228,408,Hellsau,211,9.3264248705,142.5675675676
229,229,409,Hindelbank,2611,19.1693290735,269.175257732
230,230,410,Höchstetten,270,5.8823529412,102.2727272727
231,231,411,Kernenried,560,26.4108352144,168.1681681682
232,232,412,Kirchberg (BE),5916,6.0405090518,653.7016574586
