,BFS_NR,GEBIET_NAME,THEMA_NAME,SET_NAME,SUBSET_NAME,INDIKATOR_ID,INDIKATOR_NAME,INDIKATOR_JAHR,INDIKATOR_VALUE,EINHEIT_KURZ,EINHEIT_LANG,Unnamed: 11
31,1,Aeugst a.A.,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,86312,Fr.,Franken,
63,2,Affoltern a.A.,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,60345,Fr.,Franken,
95,3,Bonstetten,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,73247,Fr.,Franken,
127,4,Hausen a.A.,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,79017,Fr.,Franken,
159,5,Hedingen,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,83225,Fr.,Franken,
191,6,Kappel a.A.,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,73516,Fr.,Franken,
223,7,Knonau,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,77835,Fr.,Franken,
255,8,Maschwanden,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,60097,Fr.,Franken,
287,9,Mettmenstetten,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,73206,Fr.,Franken,
319,10,Obfelden,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,64538,Fr.,Franken,
351,11,Ottenbach,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,72928,Fr.,Franken,
383,12,Rifferswil,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,75090,Fr.,Franken,
415,13,Stallikon,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,85802,Fr.,Franken,
447,14,Wettswil a.A.,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,97781,Fr.,Franken,
479,21,Adlikon,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,66192,Fr.,Franken,
511,22,Benken,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,65331,Fr.,Franken,
543,23,Berg a.I.,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,93141,Fr.,Franken,
575,24,Buch a.I.,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,68692,Fr.,Franken,
607,25,Dachsen,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,70269,Fr.,Franken,
639,26,Dorf,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,67211,Fr.,Franken,
671,27,Feuerthalen,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,61225,Fr.,Franken,
703,28,Flaach,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,66978,Fr.,Franken,
735,29,Flurlingen,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,72490,Fr.,Franken,
767,30,Andelfingen,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,68399,Fr.,Franken,
799,31,Henggart,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,68273,Fr.,Franken,
831,32,Humlikon,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,69185,Fr.,Franken,
863,33,Kleinandelfingen,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,61431,Fr.,Franken,
895,34,Laufen-Uhwiesen,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,80007,Fr.,Franken,
927,35,Marthalen,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,70597,Fr.,Franken,
988,37,Ossingen,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,59166,Fr.,Franken,
1020,38,Rheinau,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,59805,Fr.,Franken,
1052,39,Thalheim a.d.Th.,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,66058,Fr.,Franken,
1084,40,Trüllikon,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,61869,Fr.,Franken,
1116,41,Truttikon,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,58323,Fr.,Franken,
1177,43,Volken,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,70943,Fr.,Franken,
1238,51,Bachenbülach,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,65354,Fr.,Franken,
1270,52,Bassersdorf,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,64782,Fr.,Franken,
1302,53,Bülach,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,60729,Fr.,Franken,
1334,54,Dietlikon,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,67011,Fr.,Franken,
1366,55,Eglisau,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,70795,Fr.,Franken,
1398,56,Embrach,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,59052,Fr.,Franken,
1430,57,Freienstein-Teufen,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,69044,Fr.,Franken,
1462,58,Glattfelden,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,62561,Fr.,Franken,
1494,59,Hochfelden,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,63865,Fr.,Franken,
1526,60,Höri,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,57505,Fr.,Franken,
1558,61,Hüntwangen,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,68389,Fr.,Franken,
1590,62,Kloten,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,57341,Fr.,Franken,
1622,63,Lufingen,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,79176,Fr.,Franken,
1654,64,Nürensdorf,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,83576,Fr.,Franken,
1686,65,Oberembrach,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,70700,Fr.,Franken,
1718,66,Opfikon,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,56321,Fr.,Franken,
1750,67,Rafz,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,65741,Fr.,Franken,
1782,68,Rorbas,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,59448,Fr.,Franken,
1814,69,Wallisellen,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,70083,Fr.,Franken,
1846,70,Wasterkingen,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,61970,Fr.,Franken,
1878,71,Wil,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,76715,Fr.,Franken,
1910,72,Winkel,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,98977,Fr.,Franken,
1942,81,Bachs,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,63579,Fr.,Franken,
1974,82,Boppelsen,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,90715,Fr.,Franken,
2006,83,Buchs,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,64146,Fr.,Franken,
2038,84,Dällikon,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,64218,Fr.,Franken,
2070,85,Dänikon,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,69696,Fr.,Franken,
2102,86,Dielsdorf,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,61593,Fr.,Franken,
