,Number_of_commune,Name_of_commune,Residents,Population_change_%,Population_density_sqkm,N_markets,N_markets_per_1k_residents,N_big_markets,N_big_markets_per_1k_residents
0,1,Aeugst am Albis,1981.0,8.6074561404,250.4424778761,3,1.5143866733972742,0,0.0
1,2,Affoltern am Albis,12303.0,10.9277792805,1161.7563739377,18,1.463057790782736,7,0.5689669186377306
2,3,Bonstetten,5572.0,8.0054274084,749.932705249,9,1.615218951902369,3,0.5384063173007897
3,4,Hausen am Albis,3751.0,11.6369047619,275.8088235294,4,1.0663822980538522,1,0.26659557451346305
4,5,Hedingen,3778.0,10.7917888563,578.5604900459,3,0.7940709370037057,0,0.0
5,6,Kappel am Albis,1221.0,33.0065359477,154.1666666667,1,0.819000819000819,0,0.0
6,7,Knonau,2378.0,32.1111111111,367.542503864,2,0.8410428931875525,0,0.0
7,8,Maschwanden,645.0,4.7077922078,137.526652452,2,3.10077519379845,0,0.0
8,9,Mettmenstetten,5200.0,22.5547961348,399.07904835,6,1.1538461538461537,0,0.0
9,10,Obfelden,5721.0,22.0870678617,758.7533156499,8,1.3983569306065373,1,0.17479461632581716
10,11,Ottenbach,2588.0,7.3858921162,515.5378486056,3,1.1591962905718702,1,0.38639876352395675
11,12,Rifferswil,1129.0,25.4444444444,173.425499232,1,0.8857395925597874,0,0.0
12,13,Stallikon,3755.0,18.7915216704,312.3960066556,3,0.7989347536617842,1,0.2663115845539281
13,14,Wettswil am Albis,5240.0,15.980522355,1389.9204244032,4,0.7633587786259542,0,0.0
14,21,Adlikon,698.0,20.9705372617,106.0790273556,3,4.2979942693409745,0,0.0
15,22,Benken (ZH),845.0,5.8897243108,149.2932862191,0,0.0,0,0.0
16,23,Berg am Irchel,577.0,-3.67278798,82.3109843081,1,1.733102253032929,0,0.0
17,24,Buch am Irchel,979.0,12.7880184332,95.8863858962,1,1.0214504596527068,0,0.0
18,25,Dachsen,1916.0,-1.1861784425,709.6296296296,2,1.0438413361169103,0,0.0
19,26,Dorf,658.0,4.1139240506,118.345323741,502,762.9179331306991,51,77.50759878419453
20,27,Feuerthalen,3614.0,3.553008596,1457.2580645161,6,1.6602102933038185,3,0.8301051466519093
21,28,Flaach,1420.0,15.7294213529,139.6263520157,4,2.816901408450704,0,0.0
22,29,Flurlingen,1477.0,3.431372549,612.8630705394,1,0.6770480704129993,0,0.0
23,30,Andelfingen,2247.0,20.8064516129,333.3827893175,4,1.7801513128615933,0,0.0
24,31,Henggart,2234.0,0.9489380931,737.2937293729,3,1.3428827215756491,0,0.0
25,32,Humlikon,485.0,6.1269146608,131.7934782609,1,2.0618556701030926,0,0.0
26,33,Kleinandelfingen,2074.0,-0.5275779376,201.5549076774,6,2.892960462873674,2,0.9643201542912246
27,34,Laufen-Uhwiesen,1761.0,16.5453342158,280.4140127389,3,1.7035775127768313,0,0.0
28,35,Marthalen,1918.0,-0.6732263076,135.7395612173,6,3.1282586027111576,0,0.0
29,37,Ossingen,1668.0,23.7388724036,127.4255156608,4,2.3980815347721824,0,0.0
30,38,Rheinau,1316.0,1.0752688172,147.3684210526,17,12.917933130699089,0,0.0
31,39,Thalheim an der Thur,938.0,14.6699266504,145.652173913,2,2.1321961620469083,0,0.0
32,40,Trüllikon,1061.0,6.8479355488,110.9832635983,2,1.885014137606032,0,0.0
