,formatted_address,name,rating,user_ratings_total,geometry.location.lat,geometry.location.lng,Street,commune,country,store_name,communes
0,"Allmendstrasse 5, 8914 Aeugst am Albis, Switzerland",Volg,4.4,47.0,47.26797270000001,8.4862223,Allmendstrasse 5, 8914 Aeugst am Albis, Switzerland,volg,aeugst am albis
1,"Obfelderstrasse 1, 8910 Affoltern am Albis, Switzerland",migrolino Affoltern am Albis,4.1,67.0,47.2746869,8.445784699999999,Obfelderstrasse 1, 8910 Affoltern am Albis, Switzerland,migro,affoltern am albis
2,"Büelstrasse 15, 8910 Affoltern am Albis, Switzerland",Coop Supermarkt Affoltern am Albis,4.1,1179.0,47.2738709,8.445676299999999,Büelstrasse 15, 8910 Affoltern am Albis, Switzerland,coop,affoltern am albis
3,"Centralweg 3, 8910 Affoltern am Albis, Switzerland",Lidl Schweiz,4.1,292.0,47.2780069,8.4530301,Centralweg 3, 8910 Affoltern am Albis, Switzerland,lidl,affoltern am albis
4,"Oberdorfstrasse 4, 8910 Affoltern am Albis, Switzerland",Migros Supermarkt,4.2,578.0,47.2777942,8.453773,Oberdorfstrasse 4, 8910 Affoltern am Albis, Switzerland,migro,affoltern am albis
5,"Industriestrasse 5, 8910 Affoltern am Albis, Switzerland",ALDI SUISSE,4.1,292.0,47.2727245,8.4470147,Industriestrasse 5, 8910 Affoltern am Albis, Switzerland,aldi,affoltern am albis
6,"Jonentalstrasse 1, 8910 Affoltern am Albis, Switzerland",Denner Discount,4.0,202.0,47.2771601,8.4548399,Jonentalstrasse 1, 8910 Affoltern am Albis, Switzerland,denner,affoltern am albis
7,"Zürichstrasse 51, 8910 Affoltern am Albis, Switzerland",Denner Discount,4.2,161.0,47.2761317,8.4502698,Zürichstrasse 51, 8910 Affoltern am Albis, Switzerland,denner,affoltern am albis
8,"Ottenbacherstrasse 81, 8909 Affoltern am Albis, Switzerland",Volg Zwillikon,4.3,58.0,47.28744409999999,8.4315571,Ottenbacherstrasse 81, 8909 Affoltern am Albis, Switzerland,volg,affoltern am albis
9,"Höflistrasse 7, 8135 Langnau am Albis, Switzerland",Coop Supermarkt Langnau am Albis,4.2,200.0,47.2892437,8.5397724,Höflistrasse 7, 8135 Langnau am Albis, Switzerland,coop,langnau am albis
