,canton,population
0,Aargau,603654
1,Appenzell Ausserrhoden,45107
2,Appenzell Innerrhoden,16128
3,Basel-Landschaft,245561
4,Basel-Stadt,195844
5,Bern,1001649
6,Fribourg,290721
7,Genève,479321
8,Glarus,40590
9,Graubünden,190749
10,Jura,71603
11,Luzern,401003
12,Neuchâtel,163151
13,Nidwalden,34197
14,Obwalden,37930
15,Schaffhausen,79587
16,Schwyz,142030
17,Solothurn,260042
18,St. Gallen,404988
19,Thurgau,256263
20,Ticino,350851
21,Uri,21120
22,Valais,328928
23,Vaud,748455
24,Zug,127642
25,Zürich,1415232
