,place_id,formatted_address,name,rating,types,user_ratings_total,geometry.location.lat,geometry.location.lng,plus_code.compound_code,canton,brand
0,ChIJoetcG74HkEcR5_9mPkmNtSI,"Allmendstrasse 5, 8914 Aeugst am Albis",Volg,4.4,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",47.0,47.26797270000001,8.4862223,7F9P+6C Aeugst am Albis, Aeugst am Albis,Volg
1,ChIJiUOy2zkGkEcRy22nDwkqAks,"Oberdorfstrasse 4, 8910 Affoltern am Albis",Migros Supermarkt,4.2,"['grocery_or_supermarket', 'supermarket', 'store', 'point_of_interest', 'food', 'establishment']",578.0,47.2777942,8.453773,7FH3+4G Affoltern am Albis, Affoltern am Albis,Migros
2,ChIJk6WFSkcGkEcRwsvlTASqby8,"Büelstrasse 15, 8910 Affoltern am Albis",Coop Supermarkt Affoltern am Albis,4.1,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",1179.0,47.2738709,8.445676299999999,7CFW+G7 Affoltern am Albis, Affoltern am Albis,Coop Supermarkt Affoltern am Albis
3,ChIJW4AoZTcGkEcRZ-7-G4qYMg0,"Centralweg 3, 8910 Affoltern am Albis",Lidl Schweiz,4.1,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'clothing_store', 'home_goods_store', 'store', 'point_of_interest', 'food', 'establishment']",292.0,47.2780069,8.4530301,7FH3+66 Affoltern am Albis, Affoltern am Albis,Lidl Schweiz
4,ChIJLzM1Oh8HkEcRwBmfpSnSZx8,"Industriestrasse 5, 8910 Affoltern am Albis",ALDI SUISSE,4.1,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",292.0,47.2727245,8.4470147,7CFW+3R Affoltern am Albis, Affoltern am Albis,ALDI SUISSE
5,ChIJURZXD2oGkEcRtXYXRHI1aFc,"Obfelderstrasse 1, 8910 Affoltern am Albis",migrolino Affoltern am Albis,4.1,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",67.0,47.2746869,8.445784699999999,7CFW+V8 Affoltern am Albis, Affoltern am Albis,migrolino Affoltern am Albis
6,ChIJbVjFjJsLkEcRmmja4zZ_CA4,"Zürichstrasse 51, 8910 Affoltern am Albis",Denner Discount,4.2,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",161.0,47.2761317,8.4502698,7FG2+F4 Affoltern am Albis, Affoltern am Albis,Denner Discount
7,ChIJUaO3CTcGkEcRvmRzl8dy-Pw,"Jonentalstrasse 1, 8910 Affoltern am Albis",Denner Discount,4.0,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",202.0,47.2771601,8.4548399,7FG3+VW Affoltern am Albis, Affoltern am Albis,Denner Discount
8,ChIJz36CXYqnmkcRPGj6agSMWlo,"Albisstrasse 10, 8134 Adliswil",Migros Supermarkt,4.3,"['grocery_or_supermarket', 'supermarket', 'store', 'point_of_interest', 'food', 'establishment']",877.0,47.3111111,8.5252778,8G6G+C4 Adliswil, Adliswil,Migros
9,ChIJy4I_EeGnmkcRGRIhApH6DXI,"Hintere Grundstrasse 2, 8135 Langnau am Albis",Migros Supermarkt,4.2,"['grocery_or_supermarket', 'supermarket', 'store', 'point_of_interest', 'food', 'establishment']",132.0,47.2913381,8.5378331,7GRQ+G4 Langnau am Albis, Langnau am Albis,Migros
10,ChIJa0A7_iwHkEcR_cg1cTUfT2I,"Obfelderstrasse 37, 8910 Affoltern am Albis",avec,3.6,"['convenience_store', 'supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",7.0,47.2714382,8.4403033,7CCR+H4 Affoltern am Albis, Affoltern am Albis,avec
