,place_id,formatted_address,name,rating,types,user_ratings_total,geometry.location.lat,geometry.location.lng,plus_code.compound_code,canton,brand
1,ChIJiUOy2zkGkEcRy22nDwkqAks,"Oberdorfstrasse 4, 8910 Affoltern am Albis",Migros Supermarkt,4.2,"['grocery_or_supermarket', 'supermarket', 'store', 'point_of_interest', 'food', 'establishment']",578.0,47.2777942,8.453773,7FH3+4G Affoltern am Albis, Affoltern am Albis,Migros
8,ChIJz36CXYqnmkcRPGj6agSMWlo,"Albisstrasse 10, 8134 Adliswil",Migros Supermarkt,4.3,"['grocery_or_supermarket', 'supermarket', 'store', 'point_of_interest', 'food', 'establishment']",877.0,47.3111111,8.5252778,8G6G+C4 Adliswil, Adliswil,Migros
9,ChIJy4I_EeGnmkcRGRIhApH6DXI,"Hintere Grundstrasse 2, 8135 Langnau am Albis",Migros Supermarkt,4.2,"['grocery_or_supermarket', 'supermarket', 'store', 'point_of_interest', 'food', 'establishment']",132.0,47.2913381,8.5378331,7GRQ+G4 Langnau am Albis, Langnau am Albis,Migros
12,ChIJ5d9-uMOnmkcROt9JmNJ8wHQ,"Zürcherstrasse 4, 8803 Rüschlikon",Migros Supermarkt,4.4,"['grocery_or_supermarket', 'supermarket', 'store', 'point_of_interest', 'food', 'establishment']",696.0,47.300096,8.548924,8G2X+2H Rüschlikon, Rüschlikon,Migros
17,ChIJD6H0WdKnmkcRNsWBAv2Q9Lg,"Alte Landstrasse 130, 8800 Thalwil",Migros Supermarkt,4.3,"['grocery_or_supermarket', 'supermarket', 'store', 'point_of_interest', 'food', 'establishment']",557.0,47.294187,8.564081999999999,7HV7+MJ Thalwil, Thalwil,Migros
18,ChIJX0YjkOIKkEcRZDzIE1DlaOU,"Jonas-Furrer-Strasse 21, 8046 Zürich",Migros Supermarkt,4.2,"['grocery_or_supermarket', 'supermarket', 'food', 'store', 'point_of_interest', 'establishment']",900.0,47.4200641,8.5084999,CGC5+2C Zürich, Zürich,Migros
23,ChIJH9iPzvsIkEcRGKrRIuBujB8,"Schachenstrasse 115, 8906 Bonstetten",Migros Partner,4.4,"['supermarket', 'bakery', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'health', 'establishment']",124.0,47.3253193,8.4725152,8FGC+4X Bonstetten, Bonstetten,Migros
26,ChIJI8HnhsoOkEcRtrizPct-sG0,"Zürcherstrasse 15, 8903 Birmensdorf",Migros Supermarkt,4.3,"['grocery_or_supermarket', 'supermarket', 'food', 'store', 'point_of_interest', 'establishment']",176.0,47.35429449999999,8.4367776,9C3P+PP Birmensdorf, Birmensdorf,Migros
39,ChIJ6cHZIsmomkcRwZVr-r6F4I0,"Alte Landstrasse 24, 8810 Horgen",Migros Supermarkt,4.2,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",543.0,47.2604576,8.5973844,7H6W+5X Horgen, Horgen,Migros
48,ChIJ5Zob-TmqmkcR9liLhKdmmD0,"Bahnhofstrasse 5, 6340 Baar",Migros Supermarkt,4.3,"['grocery_or_supermarket', 'supermarket', 'food', 'store', 'point_of_interest', 'establishment']",319.0,47.1956116,8.5249215,5GWG+62 Baar, Baar,Migros
49,ChIJq6p2bKEAkEcRLOmVVbkLxyo,"Bahnhofstrasse 2, 6312 Steinhausen",Migros Supermarkt,4.5,"['grocery_or_supermarket', 'supermarket', 'food', 'store', 'point_of_interest', 'establishment']",83.0,47.1970457,8.4849184,5FWM+RX Steinhausen, Steinhausen,Migros
51,ChIJP5O8L2eqmkcRIDYDSSgq5D4,"Hertizentrum 10, 6300 Zug",Migros Supermarkt,4.4,"['grocery_or_supermarket', 'supermarket', 'food', 'store', 'point_of_interest', 'establishment']",129.0,47.1780321,8.5059051,5GH4+69 Zug, Zug,Migros
54,ChIJo__gbFiqmkcR9x1jTPe_CaI,"Baarerstrasse 22, 6300 Zug",Migros Supermarkt,4.3,"['grocery_or_supermarket', 'supermarket', 'food', 'store', 'point_of_interest', 'establishment']",691.0,47.1731333,8.5182252,5GF9+77 Zug, Zug,Migros
55,ChIJMw3MTpgAkEcRO9ii07Yzm-o,"Hinterbergstrasse 40, 6312 Steinhausen",Migros Supermarkt,4.5,"['grocery_or_supermarket', 'supermarket', 'food', 'store', 'point_of_interest', 'establishment']",689.0,47.1924775,8.4769179,5FRG+XQ Steinhausen, Steinhausen,Migros
58,ChIJTzzqtowAkEcRzr4zuDdXC1I,"Zugerstrasse 15/17, 6330 Cham",Migros Supermarkt,4.3,"['grocery_or_supermarket', 'supermarket', 'food', 'store', 'point_of_interest', 'establishment']",257.0,47.1827402,8.4612771,5FM6+2G Cham, Cham,Migros
62,ChIJ01z2pyIFkEcRc-qmASM8M5Y,"Kirchenfeldstrasse 8, 5630 Muri",Migros Supermarkt,4.3,"['grocery_or_supermarket', 'supermarket', 'food', 'store', 'point_of_interest', 'establishment']",355.0,47.2720122,8.3418444,78CR+RP Muri, Muri,Migros
66,ChIJ_SR38lZ1kEcReSR9696npIg,"Flughofstrasse 3, 8058 Kloten",Migros Supermarket Zurich Airport,4.5,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",1727.0,47.4493704,8.562636099999999,CHX7+P3 Kloten, Kloten,Migros
67,ChIJCUfywF4JkEcRk_49-0QlaqM,"Zürcherstrasse 8, 8142 Uitikon",Migros Supermarkt,4.3,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",193.0,47.3684463,8.4628667,9F97+94 Uitikon, Uitikon,Migros
68,ChIJj0lFi-0JkEcRhd1Rz4cxhXc,"BRUNAUPARK, Giesshübelstrasse 65, 8045 Zürich",Migros Supermarkt,4.3,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",812.0,47.3583939,8.5176529,9G59+93 Zürich,shübelstrasse 65,Migros
69,ChIJ6cfaKs4JkEcRgtb1q4szNRU,"Leimbachstrasse 23, 8041 Zürich",Migros Supermarkt,4.1,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",263.0,47.33601729999999,8.5188484,8GP9+CH Zürich, Zürich,Migros
70,ChIJ3_pzcxkKkEcRcqDQcszcT6Y,"Wengistrasse 7, 8004 Zürich",Migros Supermarkt,4.2,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",495.0,47.374944,8.523068,9GFF+X6 Zürich, Zürich,Migros
71,ChIJlyh8cScKkEcRY3M2wmnjbVI,"Birmensdorferstrasse 320, 8055 Zürich",Migros Supermarkt,4.3,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",540.0,47.3699559,8.508720799999999,9G95+XF Zürich, Zürich,Migros
73,ChIJA0Pf5N4JkEcRD2eKbftCaxc,"Etzelstrasse 3, 8038 Zürich",Migros Supermarkt,4.3,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",642.0,47.34472220000001,8.53,8GVJ+V2 Zürich, Zürich,Migros
74,ChIJ8_GqOdYJkEcRlyA5wY3lgh0,"Tessinerpl. 10, 8002 Zürich",Migros Supermarkt,4.1,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",568.0,47.36413049999999,8.5310291,9G7J+MC Zürich, Zürich,Migros
75,ChIJKehoGAIKkEcRoe1kqchOW68,"Stockerstrasse 47, 8002 Zürich",Migros Supermarkt,4.2,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",134.0,47.3683281,8.5341943,9G9M+8M Zürich, Zürich,Migros
76,ChIJfSSTTR4KkEcRF7QYJUbjEPU,"Birmensdorferstrasse 140, 8003 Zürich",Migros Supermarkt,4.2,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",674.0,47.37008950000001,8.520151,9GCC+23 Zürich, Zürich,Migros
85,ChIJ-XJOi0iDmkcRTJyNhPoG8oc,"Weinlandstrasse 4, 8451 Kleinandelfingen",Migros Supermarkt,4.3,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",406.0,47.601979,8.6888684,JM2Q+QF Kleinandelfingen, Kleinandelfingen,Migros
90,ChIJeQU0niqcmkcRhE9IFLdrP-g,"Weiacherstrasse 1, 8422 Pfungen",Migros Supermarkt,4.3,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",419.0,47.51748449999999,8.650216,GM82+X3 Pfungen, Pfungen,Migros
93,ChIJXbpoJbGbmkcR8wFjzzTQ2OI,"Winterthurerstrasse 5, 8472 Seuzach",Migros Supermarkt,4.1,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",209.0,47.535591,8.7302834,GPPJ+64 Seuzach, Seuzach,Migros
94,ChIJD5nCY9qbmkcR8vujVVC_Mzo,"Schaffhauserstrasse 154, 8400 Winterthur",Migros Supermarkt,4.4,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",771.0,47.51830349999999,8.7194715,GP99+8Q Winterthur, Winterthur,Migros
105,ChIJaVLHVsOBmkcRjCMbvLjR1Zc,"Dürstlingweg 2, 8203 Schaffhausen",Migros Supermarkt,4.4,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",203.0,47.6991032,8.654574799999999,MMX3+JR Schaffhausen, Schaffhausen,Migros
