,Unnamed: 0,formatted_address,name,place_id,rating,user_ratings_total,geometry.location.lat,geometry.location.lng,opening_hours.open_now,permanently_closed,Street,commune,country,store_name,brand
0,3,"Obfelderstrasse 1, 8910 Affoltern am Albis, Switzerland",migrolino Affoltern am Albis,ChIJURZXD2oGkEcRtXYXRHI1aFc,4.1,67.0,47.2746869,8.445784699999999,True,,Obfelderstrasse 1,Affoltern am Albis, Switzerland,migro,migrolino Affoltern am Albis
1,4,"Büelstrasse 15, 8910 Affoltern am Albis, Switzerland",Coop Supermarkt Affoltern am Albis,ChIJk6WFSkcGkEcRwsvlTASqby8,4.1,1179.0,47.2738709,8.445676299999999,True,,Büelstrasse 15,Affoltern am Albis, Switzerland,coop,Coop Supermarkt Affoltern am Albis
2,5,"Centralweg 3, 8910 Affoltern am Albis, Switzerland",Lidl Schweiz,ChIJW4AoZTcGkEcRZ-7-G4qYMg0,4.1,292.0,47.2780069,8.4530301,True,,Centralweg 3,Affoltern am Albis, Switzerland,lidl,Lidl Schweiz
3,6,"Oberdorfstrasse 4, 8910 Affoltern am Albis, Switzerland",Migros Supermarkt,ChIJiUOy2zkGkEcRy22nDwkqAks,4.2,578.0,47.2777942,8.453773,True,,Oberdorfstrasse 4,Affoltern am Albis, Switzerland,migro,Migros
4,8,"Industriestrasse 5, 8910 Affoltern am Albis, Switzerland",ALDI SUISSE,ChIJLzM1Oh8HkEcRwBmfpSnSZx8,4.1,292.0,47.2727245,8.4470147,True,,Industriestrasse 5,Affoltern am Albis, Switzerland,aldi,ALDI SUISSE
5,19,"Höflistrasse 7, 8135 Langnau am Albis, Switzerland",Coop Supermarkt Langnau am Albis,ChIJ5XqpauCnmkcRSu7SHa5XsOU,4.2,200.0,47.2892437,8.5397724,True,,Höflistrasse 7,Langnau am Albis, Switzerland,coop,Coop Supermarkt Langnau am Albis
6,20,"Im Wängli 6, 8910 Affoltern am Albis, Switzerland",Coop Pronto Affoltern am Albis,ChIJ8XTvszoGkEcR_9pLF7bYgxU,4.2,177.0,47.2840263,8.4534833,True,,Im Wängli 6,Affoltern am Albis, Switzerland,coop,Coop Pronto Affoltern am Albis
7,21,"Büelstrasse 15, 8910 Affoltern am Albis, Switzerland",Coop Kiosk,ChIJKwXhooIHkEcR4byb-Oi46Yo,5.0,1.0,47.2739173,8.4458267,,True,Büelstrasse 15,Affoltern am Albis, Switzerland,coop,Coop Kiosk
8,24,"Zugerstrasse 2, 6340 Hausen am Albis, Switzerland",migrolino Sihlbrugg,ChIJpUna3ESpmkcR3AAad0Rvfpc,4.3,49.0,47.21689569999999,8.5762232,True,,Zugerstrasse 2,Hausen am Albis, Switzerland,migro,migrolino Sihlbrugg
9,35,"Im Heumoos 25, 8906 Bonstetten, Switzerland",Coop Supermarkt Bonstetten,ChIJdQ156voIkEcRWMowxAxGMpM,4.2,321.0,47.3242618,8.4687602,True,,Im Heumoos 25,Bonstetten, Switzerland,coop,Coop Supermarkt Bonstetten
10,37,"Schachenstrasse 115, 8906 Bonstetten, Switzerland",Migros Partner,ChIJH9iPzvsIkEcRGKrRIuBujB8,4.4,124.0,47.3253193,8.4725152,True,,Schachenstrasse 115,Bonstetten, Switzerland,migro,Migros
11,42,"Oberdorfstrasse 6A, 6340 Baar, Switzerland",Coop Supermarkt Baar Oberdorf,ChIJo1S3MDGqmkcR_5pEPukFo1o,4.1,238.0,47.1956308,8.5300792,True,,Oberdorfstrasse 6A,Baar, Switzerland,coop,Coop Supermarkt Baar Oberdorf
12,44,"Hintere Grundstrasse 2, 8135 Langnau am Albis, Switzerland",Migros Supermarkt,ChIJy4I_EeGnmkcRGRIhApH6DXI,4.2,132.0,47.2913381,8.5378331,True,,Hintere Grundstrasse 2,Langnau am Albis, Switzerland,migro,Migros
13,49,"Ottenbacherstrasse 23, 8912 Obfelden, Switzerland",Coop Supermarkt Obfelden,ChIJR20XCHAGkEcRC3aZj3d3dHE,3.9,222.0,47.266924,8.4242246,True,,Ottenbacherstrasse 23,Obfelden, Switzerland,coop,Coop Supermarkt Obfelden
14,51,"Bahnhofstrasse 7, 6312 Steinhausen, Switzerland",Coop Supermarkt Steinhausen,ChIJOW4Za6EAkEcR9ZT4L-8opxs,4.4,310.0,47.19640330000001,8.4826207,True,,Bahnhofstrasse 7,Steinhausen, Switzerland,coop,Coop Supermarkt Steinhausen
15,53,"Chollerstrasse 1, 6300 Zug, Switzerland",migrolino Zug,ChIJndDuv4IAkEcRq7qtFdZvjLY,4.3,101.0,47.1826324,8.4839163,True,,Chollerstrasse 1,Zug, Switzerland,migro,migrolino Zug
16,56,"Seehofstrasse 14, 6330 Cham, Switzerland",Coop Supermarkt Cham Seehof,ChIJI11au4wAkEcRyyjR9WT4MVY,4.2,335.0,47.18148679999999,8.4616515,True,,Seehofstrasse 14,Cham, Switzerland,coop,Coop Supermarkt Cham Seehof
17,57,"Chamerstrasse 12, 6331 Hünenberg, Switzerland",Migros Supermarkt ab 24.11.22,ChIJW6acDaQBkEcRfud3Va_PkRI,0.0,0.0,47.1750893,8.427163199999999,,,Chamerstrasse 12,Hünenberg, Switzerland,migro,Migros
18,58,"Eichengasse 1A, 6331 Hünenberg, Switzerland",Coop Supermarkt Hünenberg,ChIJEWiWA6kBkEcRBDpLQRH8OPI,4.0,131.0,47.1754437,8.426284899999999,True,,Eichengasse 1A,Hünenberg, Switzerland,coop,Coop Supermarkt Hünenberg
19,61,"Maihölzli 5, 6331 Hünenberg, Switzerland",Migros-Supermarkt - Hünenberg Dorf,ChIJx-xVC2QBkEcRIOsffv2bKVM,0.0,0.0,47.1750455,8.4273217,True,,Maihölzli 5,Hünenberg, Switzerland,migro,Migros
20,69,"Alte Landstrasse 26, 8942 Oberrieden, Switzerland",Coop Supermarkt Oberrieden,ChIJC-imIZuomkcRNW6A52oAmQc,4.3,156.0,47.2782658,8.5754782,True,,Alte Landstrasse 26,Oberrieden, Switzerland,coop,Coop Supermarkt Oberrieden
21,70,"Alte Landstrasse 37, 8942 Oberrieden, Switzerland",migrolino Oberrieden,ChIJyTVfXJqomkcRpu_SFUSzSc4,4.2,154.0,47.2767068,8.5775265,True,,Alte Landstrasse 37,Oberrieden, Switzerland,migro,migrolino Oberrieden
22,71,"Oberdorfstrasse 50, 8810 Horgen, Switzerland",migrolino Shop,ChIJX1K6MsSomkcRn56EHhpArSU,4.1,86.0,47.2587963,8.589930299999999,True,,Oberdorfstrasse 50,Horgen, Switzerland,migro,migrolino Shop
23,74,"Bahnhofstrasse 2, 6312 Steinhausen, Switzerland",Migros Supermarkt,ChIJq6p2bKEAkEcRLOmVVbkLxyo,4.5,83.0,47.1970457,8.4849184,True,,Bahnhofstrasse 2,Steinhausen, Switzerland,migro,Migros
24,75,"Sellenbüren 61, 8143 Stallikon, Switzerland",Coop Supermarkt Stallikon,ChIJT5Z9QAgJkEcRVPIIyMRyfy8,4.0,147.0,47.342808,8.4829805,True,,Sellenbüren 61,Stallikon, Switzerland,coop,Coop Supermarkt Stallikon
25,79,"Albisstrasse 10, 8134 Adliswil, Switzerland",Migros Supermarkt,ChIJz36CXYqnmkcRPGj6agSMWlo,4.3,876.0,47.3111111,8.5252778,True,,Albisstrasse 10,Adliswil, Switzerland,migro,Migros
26,80,"Kalanderpl. 1, 8045 Zürich, Switzerland",Coop Supermarkt Zürich Sihlcity Supermarkt,ChIJFwx7xe8JkEcRDrrE0f9X6mg,4.4,859.0,47.3576232,8.5231751,True,,Kalanderpl. 1,Zürich, Switzerland,coop,Coop Supermarkt Zürich Sihlcity Supermarkt
27,82,"Uetlibergstrasse 20, 8045 Zürich, Switzerland",Coop Supermarkt Zürich Manessehof,ChIJHVi3JfQJkEcRJv9MWJcnqMA,4.0,248.0,47.36488989999999,8.5211127,True,,Uetlibergstrasse 20,Zürich, Switzerland,coop,Coop Supermarkt Zürich Manessehof
