"PERIOD_REF";"PERIOD_COMP";"CODE_REGION";"REGION";"INDICATORS";"UNIT_MES";"VALUE";"STATUS"
"2019";;"1";"Aeugst am Albis";"Ind_01_01";"UM_6";1981;"A"
"2019";;"2";"Affoltern am Albis";"Ind_01_01";"UM_6";12303;"A"
"2019";;"3";"Bonstetten";"Ind_01_01";"UM_6";5572;"A"
"2019";;"4";"Hausen am Albis";"Ind_01_01";"UM_6";3751;"A"
"2019";;"5";"Hedingen";"Ind_01_01";"UM_6";3778;"A"
"2019";;"6";"Kappel am Albis";"Ind_01_01";"UM_6";1221;"A"
"2019";;"7";"Knonau";"Ind_01_01";"UM_6";2378;"A"
"2019";;"8";"Maschwanden";"Ind_01_01";"UM_6";645;"A"
"2019";;"9";"Mettmenstetten";"Ind_01_01";"UM_6";5200;"A"
"2019";;"10";"Obfelden";"Ind_01_01";"UM_6";5721;"A"
"2019";;"11";"Ottenbach";"Ind_01_01";"UM_6";2588;"A"
"2019";;"12";"Rifferswil";"Ind_01_01";"UM_6";1129;"A"
"2019";;"13";"Stallikon";"Ind_01_01";"UM_6";3755;"A"
"2019";;"14";"Wettswil am Albis";"Ind_01_01";"UM_6";5240;"A"
"2019";;"21";"Adlikon";"Ind_01_01";"UM_6";698;"A"
"2019";;"22";"Benken (ZH)";"Ind_01_01";"UM_6";845;"A"
"2019";;"23";"Berg am Irchel";"Ind_01_01";"UM_6";577;"A"
"2019";;"24";"Buch am Irchel";"Ind_01_01";"UM_6";979;"A"
"2019";;"25";"Dachsen";"Ind_01_01";"UM_6";1916;"A"
"2019";;"26";"Dorf";"Ind_01_01";"UM_6";658;"A"
"2019";;"27";"Feuerthalen";"Ind_01_01";"UM_6";3614;"A"
"2019";;"28";"Flaach";"Ind_01_01";"UM_6";1420;"A"
"2019";;"29";"Flurlingen";"Ind_01_01";"UM_6";1477;"A"
"2019";;"30";"Andelfingen";"Ind_01_01";"UM_6";2247;"A"
"2019";;"31";"Henggart";"Ind_01_01";"UM_6";2234;"A"
"2019";;"32";"Humlikon";"Ind_01_01";"UM_6";485;"A"
"2019";;"33";"Kleinandelfingen";"Ind_01_01";"UM_6";2074;"A"
"2019";;"34";"Laufen-Uhwiesen";"Ind_01_01";"UM_6";1761;"A"
"2019";;"35";"Marthalen";"Ind_01_01";"UM_6";1918;"A"
"2019";;"37";"Ossingen";"Ind_01_01";"UM_6";1668;"A"
"2019";;"38";"Rheinau";"Ind_01_01";"UM_6";1316;"A"
"2019";;"39";"Thalheim an der Thur";"Ind_01_01";"UM_6";938;"A"
"2019";;"40";"Trüllikon";"Ind_01_01";"UM_6";1061;"A"
"2019";;"41";"Truttikon";"Ind_01_01";"UM_6";463;"A"
"2019";;"43";"Volken";"Ind_01_01";"UM_6";380;"A"
"2019";;"51";"Bachenbülach";"Ind_01_01";"UM_6";4180;"A"
"2019";;"52";"Bassersdorf";"Ind_01_01";"UM_6";11824;"A"
"2019";;"53";"Bülach";"Ind_01_01";"UM_6";21372;"A"
"2019";;"54";"Dietlikon";"Ind_01_01";"UM_6";7847;"A"
"2019";;"55";"Eglisau";"Ind_01_01";"UM_6";5339;"A"
"2019";;"56";"Embrach";"Ind_01_01";"UM_6";9421;"A"
"2019";;"57";"Freienstein-Teufen";"Ind_01_01";"UM_6";2389;"A"
"2019";;"58";"Glattfelden";"Ind_01_01";"UM_6";5217;"A"
"2019";;"59";"Hochfelden";"Ind_01_01";"UM_6";1982;"A"
"2019";;"60";"Höri";"Ind_01_01";"UM_6";2872;"A"
"2019";;"61";"Hüntwangen";"Ind_01_01";"UM_6";1057;"A"
"2019";;"62";"Kloten";"Ind_01_01";"UM_6";20130;"A"
"2019";;"63";"Lufingen";"Ind_01_01";"UM_6";2417;"A"
"2019";;"64";"Nürensdorf";"Ind_01_01";"UM_6";5602;"A"
"2019";;"65";"Oberembrach";"Ind_01_01";"UM_6";1121;"A"
"2019";;"66";"Opfikon";"Ind_01_01";"UM_6";21014;"A"
"2019";;"67";"Rafz";"Ind_01_01";"UM_6";4661;"A"
"2019";;"68";"Rorbas";"Ind_01_01";"UM_6";2885;"A"
"2019";;"69";"Wallisellen";"Ind_01_01";"UM_6";16841;"A"
"2019";;"70";"Wasterkingen";"Ind_01_01";"UM_6";563;"A"
"2019";;"71";"Wil (ZH)";"Ind_01_01";"UM_6";1474;"A"
"2019";;"72";"Winkel";"Ind_01_01";"UM_6";4535;"A"
"2019";;"81";"Bachs";"Ind_01_01";"UM_6";592;"A"
"2019";;"82";"Boppelsen";"Ind_01_01";"UM_6";1432;"A"
"2019";;"83";"Buchs (ZH)";"Ind_01_01";"UM_6";6565;"A"
"2019";;"84";"Dällikon";"Ind_01_01";"UM_6";4177;"A"
"2019";;"85";"Dänikon";"Ind_01_01";"UM_6";1861;"A"
"2019";;"86";"Dielsdorf";"Ind_01_01";"UM_6";5966;"A"
"2019";;"87";"Hüttikon";"Ind_01_01";"UM_6";952;"A"
"2019";;"88";"Neerach";"Ind_01_01";"UM_6";3175;"A"
"2019";;"89";"Niederglatt";"Ind_01_01";"UM_6";4993;"A"
"2019";;"90";"Niederhasli";"Ind_01_01";"UM_6";9345;"A"
"2019";;"91";"Niederweningen";"Ind_01_01";"UM_6";3073;"A"
"2019";;"92";"Oberglatt";"Ind_01_01";"UM_6";7228;"A"
