,Unnamed: 0,business_status,formatted_address,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,plus_code.compound_code,plus_code.global_code,price_level,permanently_closed
0,0,OPERATIONAL,"Allmendstrasse 5, 8914 Aeugst am Albis",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Volg,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103060506669641917714"">nanjo30</a>'], 'photo_reference': 'AW30NDxcoXg8Tx2-rCWn3VCV2pnh9QapFqmzDb8Ug6dJB5WLimXUwktCkW07MfXd5avnMzvZsYqFPECJDMQ_4q472dIaMI269RTiKMbo2-UReHy2oupwgsx28jZfWIHhguXKHVHhk9HGbvoa2riTpifXWyDMXndnax8slgKDFFLJArNfU0Qq', 'width': 4000}]",ChIJoetcG74HkEcR5_9mPkmNtSI,4.4,ChIJoetcG74HkEcR5_9mPkmNtSI,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",47.0,47.26797270000001,8.4862223,47.26927692989272,8.487493629892722,47.26657727010728,8.484793970107278,True,7F9P+6C Aeugst am Albis,8FVC7F9P+6C,,
1,1,OPERATIONAL,"Oberdorfstrasse 4, 8910 Affoltern am Albis",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Migros Supermarkt,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101773874255776829841"">Mandy Bischof</a>'], 'photo_reference': 'AW30NDxUhF1uN2_tZ3gTdCEDPJGYSR7QQaRH_W6GE1Au7R_sfyilghE4b7uKREa79ON8evAHaRERRoSFloh5ibEStMUtrzHXJJ-2FK_Y_b9xskxC71Qq6Dog0sPjO9NQV1JAJzpDv88x4Hv_s50RlaNQDZTNkss0BFgdaMRx3T4GRufPk5rb', 'width': 1080}]",ChIJiUOy2zkGkEcRy22nDwkqAks,4.2,ChIJiUOy2zkGkEcRy22nDwkqAks,"['grocery_or_supermarket', 'supermarket', 'store', 'point_of_interest', 'food', 'establishment']",578.0,47.2777942,8.453773,47.27906632989271,8.455123279892723,47.27636667010727,8.452423620107279,True,7FH3+4G Affoltern am Albis,8FVC7FH3+4G,,
2,2,OPERATIONAL,"Büelstrasse 15, 8910 Affoltern am Albis",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Coop Supermarkt Affoltern am Albis,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110240648830781492298"">Alex Smolinsky</a>'], 'photo_reference': 'AW30NDyHhIURAfsNNpBOAsHTMhhWa7cpA3-78tdifK3N6Sq5dMma_BhUvDW3dxHCLLn6M1yCTvLxngnyqHQctv24khQuI7OSn5rOVxny_6NpWa-cc-Juu9Ia5byG1YYPdLmrkZ7naBC6VmF0jt-Eb8gTBXScqoFLY3rg1mw-4JAqq3zgIvyp', 'width': 4032}]",ChIJk6WFSkcGkEcRwsvlTASqby8,4.1,ChIJk6WFSkcGkEcRwsvlTASqby8,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",1179.0,47.2738709,8.445676299999999,47.27555872989272,8.44743707989272,47.27285907010728,8.444737420107277,True,7CFW+G7 Affoltern am Albis,8FVC7CFW+G7,,
3,3,OPERATIONAL,"Centralweg 3, 8910 Affoltern am Albis",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Lidl Schweiz,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113476380925760133895"">A Google User</a>'], 'photo_reference': 'AW30NDywxz06dijmwvvnUhrfYDo-iT4YMjVlBVZKJFaZRs-IUqrWSaRk_-9t4yYJQKp_9E0_C95ETepnL1zQYKR4FVRwMJcd3EP_dEHaRWQsHeoqMQqytUfUAgPR7grm_Z4Yo9MvtPoWe-eAFnewN1eT0I_8vx2reAlHuPswiax7S5mMGoaT', 'width': 1600}]",ChIJW4AoZTcGkEcRZ-7-G4qYMg0,4.1,ChIJW4AoZTcGkEcRZ-7-G4qYMg0,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'clothing_store', 'home_goods_store', 'store', 'point_of_interest', 'food', 'establishment']",292.0,47.2780069,8.4530301,47.27942392989273,8.454496779892724,47.27672427010729,8.45179712010728,True,7FH3+66 Affoltern am Albis,8FVC7FH3+66,,
4,4,OPERATIONAL,"Industriestrasse 5, 8910 Affoltern am Albis",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,ALDI SUISSE,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107626411728537962827"">Fischer Simon</a>'], 'photo_reference': 'AW30NDy2YFFetePPJeu8ZLJRC6-yKAgLJPqgdu5qQZKf3dx3JFygWZJmcyrBRRTKZhQOKoStH-NtU7spGZJ67wR-YNbromCnKSR_TRxAEvkqfaQC777ZxZnfayvdMZ0F0Zm56rNZ1uyfV5J6Sf_sqUsCt2eSnDipFLoy33PIZqxn9vIiFSYA', 'width': 5333}]",ChIJLzM1Oh8HkEcRwBmfpSnSZx8,4.1,ChIJLzM1Oh8HkEcRwBmfpSnSZx8,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",292.0,47.2727245,8.4470147,47.27418237989271,8.448101529892723,47.27148272010727,8.445401870107279,True,7CFW+3R Affoltern am Albis,8FVC7CFW+3R,,
5,5,OPERATIONAL,"Obfelderstrasse 1, 8910 Affoltern am Albis",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,migrolino Affoltern am Albis,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115075047815463858509"">Migrolino</a>'], 'photo_reference': 'AW30NDzg9NFL8Kt2leCS5ssPPA4jGP9Yy9_Gh9WwMdSgHf-71BveF2WfZJBz-gOVPKalwyY6r9bhRQwpJAqu6xFE2gBXDAvcNgzDZkijb3bgJw80OqeFmB0KaZOpKg-IwZF2hhlw0wKCFvYY8dI1UMjDfjccIdFSdHj3-ZZK61VVjEEB_8ak', 'width': 1920}]",ChIJURZXD2oGkEcRtXYXRHI1aFc,4.1,ChIJURZXD2oGkEcRtXYXRHI1aFc,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",67.0,47.2746869,8.445784699999999,47.27599082989272,8.44681657989272,47.27329117010728,8.444116920107277,True,7CFW+V8 Affoltern am Albis,8FVC7CFW+V8,,
6,6,OPERATIONAL,"Zürichstrasse 51, 8910 Affoltern am Albis",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Denner Discount,"[{'height': 2016, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107142944677859662104"">Denner</a>'], 'photo_reference': 'AW30NDw1e7J00ECHlX6KSKNXjsBRIHDe_udzwAoZrW3_mqTtkebTmJX_056QQU7_fFNpiQ5rfykOSlS8pCRDFxqQZDL5WcuN15mz0DcGerkzOVECXzY83K7W5qFyC4BEVuRBpvs6YRC6RUwqpNGpUZ6bR2V3kt9nq8kz3jEAMsPMlJ-0YWGl', 'width': 1512}]",ChIJbVjFjJsLkEcRmmja4zZ_CA4,4.2,ChIJbVjFjJsLkEcRmmja4zZ_CA4,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",161.0,47.2761317,8.4502698,47.27741467989271,8.45157072989272,47.27471502010727,8.448871070107277,True,7FG2+F4 Affoltern am Albis,8FVC7FG2+F4,,
7,7,OPERATIONAL,"Jonentalstrasse 1, 8910 Affoltern am Albis",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Denner Discount,"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114311250536287262750"">evans</a>'], 'photo_reference': 'AW30NDy7tExO3E1oPv_Jw0DJlAMxEl9EUZaviLztPNyM00QF_pr1c9L4ETQk0fGsN0_JDvk2tFyLhVdEmcFoe1WYNguGRFR463fCHpiXUklNeHsoYq0rZ8msnY1F_EsgAZpqj5mXWHvzW8KURFuJNBfMdXx4FefHyANWW1Mc_WCXlPmWFPZP', 'width': 4128}]",ChIJUaO3CTcGkEcRvmRzl8dy-Pw,4.0,ChIJUaO3CTcGkEcRvmRzl8dy-Pw,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",202.0,47.2771601,8.4548399,47.27840332989272,8.456190729892722,47.27570367010727,8.453491070107278,True,7FG3+VW Affoltern am Albis,8FVC7FG3+VW,,
8,8,OPERATIONAL,"Albisstrasse 10, 8134 Adliswil",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Migros Supermarkt,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111743522637831606018"">Daniil Mirylenka</a>'], 'photo_reference': 'AW30NDyEAoXQUvoL-s7dS1-z1jf4HIqaLO8DdBIXCkwW-TLesej_ELDz9J4Xi6w5BcddDEQLvOlMcuavU5TX1qeJA6fcosVjiHxb6f-G75WTSkuGAAcMSwBuILIC6OUjsw0lNXBuWrP4aUQX4X4yAceDWRDkqDxvweQWLkUcrSS8XCLFESDc', 'width': 1920}]",ChIJz36CXYqnmkcRPGj6agSMWlo,4.3,ChIJz36CXYqnmkcRPGj6agSMWlo,"['grocery_or_supermarket', 'supermarket', 'store', 'point_of_interest', 'food', 'establishment']",877.0,47.3111111,8.5252778,47.31245877989272,8.52675502989272,47.30975912010728,8.524055370107277,True,8G6G+C4 Adliswil,8FVC8G6G+C4,,
9,9,OPERATIONAL,"Hintere Grundstrasse 2, 8135 Langnau am Albis",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Migros Supermarkt,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116190328226927709841"">Rakesh Gupta</a>'], 'photo_reference': 'AW30NDwbYQPiubxINkqIp2aEJ2AOumRIzlPyQoEqvoWR0qcoRXzfWlcN9AIcoWa7WqAh0fbtrhR-_aOz3EnlqjUyJ3xzJEPLeI7czH0G7lPATyIaH5N1KPY13R55H5pnyNn8K3fMqHgw8GPWbIKW7wiTT6-57kiuMLj97TZQMvJ8_JdTabo9', 'width': 4032}]",ChIJy4I_EeGnmkcRGRIhApH6DXI,4.2,ChIJy4I_EeGnmkcRGRIhApH6DXI,"['grocery_or_supermarket', 'supermarket', 'store', 'point_of_interest', 'food', 'establishment']",132.0,47.2913381,8.5378331,47.29266892989272,8.539257479892722,47.28996927010728,8.536557820107278,True,7GRQ+G4 Langnau am Albis,8FVC7GRQ+G4,,
