,unique_id,osmid,element_type,addr:housenumber,addr:postcode,addr:street,brand,brand:wikidata,cash_withdrawal,cash_withdrawal:fee,cash_withdrawal:purchase_required,cash_withdrawal:type,name,shop,website,geometry,brand:wikipedia,wheelchair,addr:city,opening_hours,access,amenity,fee,layer,parking,nodes,branch,building,operator,toilets:wheelchair,capacity:disabled,lit,maxheight,surface,level,addr:country,alt_name,internet_access,internet_access:fee,contact:addr:full,contact:phone,internet_access:ssid,phone,wheelchair:description,check_date:opening_hours,contact:addr,contact:website,operator:wikidata,addr:full,opening_hours:url,payment:cash,payment:credit_cards,payment:debit_cards,addr:housename,post_office,post_office:letter_from,post_office:parcel_from,post_office:parcel_pickup,post_office:parcel_to,source,covered,supervised,disused:shop,start_date,ele,source:addr,landuse,building:part,indoor,payment:maestro,payment:mastercard,payment:visa,departures_board,highway,network,public_transport,uic_name,uic_ref,access:covid19,changing_table,opening_hours:covid19,organic,addr:place,dog,bus,building:roof,nat_name,url,building:levels,roof:levels,changing_table:location,recycling:batteries,recycling:electrical_appliances,level:ref,smoking,payment:coins,recycling:cans,recycling:clothes,recycling:glass,recycling:paper,recycling:pe,recycling:pet,self_service,contact:city,contact:housenumber,contact:postcode,contact:street,addr:floor,check_date,payment:american_express,payment:contactless,payment:diners_club,payment:jcb,payment:postfinance_card,atm,addr:suburb,contact:facebook,contact:instagram,contact:linkedin,contact:pinterest,contact:twitter,contact:youtube,addr:street:fr,official_name,takeaway,man_made,surveillance,note,payment:visa_debit,fax,indoor_seating,outdoor_seating,capacity,payment:twint,diet:kosher,opening_date,diet:halal,copyright,oa:imported_by,oa:lat,oa:lon,oa:version,room,dogs,post_office:brand,maxstay,stroller,payment:notes,ref:FR:NAF,ref:FR:SIRET,name:de,name:en,name:fr,ways,type
0,node/355287954,355287954,node,32,3963,Route du Rawyl,Migros,Q680727,postfinance_card,no,no,checkout,Migros,supermarket,https://www.migros.ch/,POINT (7.4729474 46.3092958),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,node/357276931,357276931,node,,,,Migros,Q680727,postfinance_card,no,no,checkout,Migros,supermarket,,POINT (7.745207 46.3146795),en:Migros,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,node/357299653,357299653,node,,,,Migros,Q680727,postfinance_card,no,no,checkout,Migros,supermarket,,POINT (7.8798336 46.2931375),en:Migros,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,node/454026916,454026916,node,,,,Migros,Q680727,,,,,Migros,supermarket,,POINT (7.8704241 46.2331415),en:Migros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,node/886099069,886099069,node,,,,Migros,Q680727,postfinance_card,no,no,checkout,Migros,supermarket,,POINT (7.6414568 46.3112491),en:Migros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,node/2470508407,2470508407,node,12,3920,Hofmattstrasse,,,postfinance_card,no,no,checkout,Migros,supermarket,,POINT (7.7481937 46.0217606),,limited,Zermatt,Mo-Su 08:00-19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,node/3305602358,3305602358,node,,,,Migros,Q680727,,,,,Migros,supermarket,,POINT (7.4954526 46.2611357),en:Migros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,node/6421996551,6421996551,node,,,,Migros,Q680727,postfinance_card,no,no,checkout,Migros,supermarket,,POINT (7.926216 46.1075139),en:Migros,yes,,"Sa 08:00-17:00; Mo-Fr 08:00-12:30, 14:00-18:30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,node/7815228085,7815228085,node,,,,,,,,,,Migros,supermarket,,POINT (7.7760828 46.0676146),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,way/36917534,36917534,way,,,,,,,,,,Migros,,,"POLYGON ((7.8796376 46.2908278, 7.8798086 46.2908402, 7.8801864 46.2908737, 7.8800947 46.2910661, 7.8800274 46.291051, 7.8799408 46.2912348, 7.8798981 46.2913355, 7.8798688 46.2914008, 7.8796795 46.2918191, 7.8794455 46.2918026, 7.8796376 46.2908278))",,,,,,parking,yes,1,multi-storey,"[429340382, 429340389, 429340383, 3439690052, 3439690051, 429340384, 429340388, 429340385, 429340386, 429340387, 429340382]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
