,unique_id,osmid,element_type,brand,brand:wikidata,brand:wikipedia,cash_withdrawal,cash_withdrawal:fee,cash_withdrawal:purchase_required,cash_withdrawal:type,name,shop,wheelchair,geometry,opening_hours,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,contact:phone,operator,phone,nodes,building,building:levels,roof:levels,roof:shape,alt_name,branch,website,landuse,level,organic,payment:cash,payment:maestro,toilets:wheelchair,access,amenity,capacity,fee,layer,parking,wikidata,entrance,source,smoking,internet_access,start_date,payment:coins,payment:contactless,payment:credit_cards,payment:debit_cards,payment:notes,payment:telephone_cards,payment:twint,wheelchair:description,check_date:opening_hours,opening_hours:covid19,kids_area,capacity:disabled,lit,surface,disused:shop,building:roof,payment:postfinance_card,fixme,operator:type,addr:housename,toilets,diet:halal,diet:kosher,post_box:location,description,emergency,emergency:phone,indoor,source:opening_hours,takeaway,addr:place,check_date,bus,ele,highway,network,public_transport,uic_name,uic_ref,operator:wikidata,name:en,internet_access:fee,building:material,roof:colour,maxstay,park_ride,supervised,delivery:covid19,room,maxheight,smoothness,payment:cryptocurrencies,payment:mastercard,payment:visa,end_date,departures_board,access:covid19,changing_table,fax,contact:website,dog,addr:state,opening_hours:url,source:addr,building:part,contact:addr:full,internet_access:ssid,changing_table:location,recycling:batteries,contact:addr,addr:full,addr:street:fr,official_name,post_office,post_office:letter_from,post_office:parcel_from,post_office:parcel_pickup,post_office:parcel_to,man_made,surveillance,level:ref,covered,self_service,contact:city,contact:housenumber,contact:postcode,contact:street,addr:floor,payment:american_express,payment:diners_club,payment:jcb,addr:suburb,loc_name,post_office:brand
0,node/1216746469,1216746469,node,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,Migros,supermarket,yes,POINT (9.4398988 46.6943034),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,node/6481587073,6481587073,node,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,Migros,supermarket,,POINT (9.543732 46.7778897),Mo-Fr 08:00-18:00; Sa 08:00-18:00; Su 09:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,node/506065975,506065975,node,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,Migros,supermarket,yes,POINT (9.5275214 46.8516483),,Chur,CH,28,7000,Gäuggelistrasse,+41 81 256 52 11,Genossenschaft Migros Ostschweiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,node/618770878,618770878,node,Migros,Q680727,en:Migros,,,,,Migros,supermarket,yes,POINT (9.4728537 47.1638879),"Mo,Tu,Th 08:00-19:00, We,Fr 08:00-20:00, Sa 08:00-17:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,node/1212383406,1212383406,node,Migros,Q680727,en:Migros,,,,,Migros,supermarket,yes,POINT (9.5040703 47.1685984),,Schaan,LI,2,9494,Im Rösle,,Migros Ostschweiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,node/3292087340,3292087340,node,Migros,Q680727,,postfinance_card,no,no,checkout,Migros,supermarket,yes,POINT (9.5137281 46.8460758),,Chur,CH,1,7000,Pargherastrasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,node/3292349968,3292349968,node,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,Migros,supermarket,yes,POINT (9.5618886 46.9677982),Mo-Fr 07:00-19:30; Sa 08:00-18:00,Landquart,CH,54,7302,Bahnhofstrasse,,,+41587125900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,node/4947270215,4947270215,node,Migros,Q680727,,postfinance_card,no,no,checkout,Migros,supermarket,,POINT (9.430805 47.0423429),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,node/6010836383,6010836383,node,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,Migros,supermarket,,POINT (9.5348387 46.8714286),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,node/9798311255,9798311255,node,Migros,Q680727,,,,,,Migros,supermarket,,POINT (9.5254917 47.1087627),Mo-Fr 07:00-19:00; Sa 07:00-17:00; Su 08:00-17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,way/44368140,44368140,way,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,Migros,supermarket,,"POLYGON ((9.5014461 47.0036875, 9.5012376 47.0033886, 9.5014105 47.0033272, 9.5014366 47.0033595, 9.5014673 47.003395, 9.5016213 47.0036302, 9.5014461 47.0036875))",Mo-Fr 07:00-19:00; Sa 07:00-17:00,,,2,,Bahnhofstrasse,,Micros,,"[563881046, 563881047, 563881049, 563881050, 563881051, 563881052, 563881046]",apartments,3,1,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,way/70295844,70295844,way,Migros,Q680727,en:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,supermarket,,"POLYGON ((9.3135442 47.1219898, 9.3138298 47.1219144, 9.3138142 47.1218891, 9.3141493 47.1217855, 9.3139987 47.12155, 9.3138025 47.1216027, 9.3137801 47.1216127, 9.3136573 47.121648, 9.31365 47.1216382, 9.3133675 47.1217223, 9.3134688 47.1218757, 9.313494 47.1218672, 9.3135058 47.1218878, 9.3134817 47.1218953, 9.3135442 47.1219898))",Mo-Fr 07:30-19:00; Sa 07:30-17:00; PH off,Walenstadt,CH,27,8880,Bahnhofstrasse,,Genossenschaft Migros Ostschweiz,+41 81 720 23 51,"[839162469, 9580378520, 9580378521, 839162298, 839162075, 9580378524, 9580378523, 9580378522, 9580378525, 839162031, 9580378527, 9580378528, 9580378529, 9580378526, 839162469]",yes,,,,Migros Walenstadt,Walenstadt,https://filialen.migros.ch/de/migros-supermarkt-walenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,way/322432266,322432266,way,Migros,Q680727,,postfinance_card,no,no,checkout,Migros,supermarket,yes,"POLYGON ((9.5209931 46.8576294, 9.5211102 46.8576795, 9.5210392 46.857757, 9.52106 46.8577659, 9.5209735 46.8578604, 9.520865 46.8578139, 9.520873 46.8578051, 9.5208436 46.8577925, 9.5209931 46.8576294))",,Chur,CH,91,7000,Ringstrasse,,,,"[3292030485, 3292030486, 3292030487, 3292030488, 3292030489, 3292030490, 3292030491, 3292030492, 3292030485]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,way/733531747,733531747,way,,,,,,,,Migros,,,"POLYGON ((9.4734043 47.1639797, 9.4730038 47.1636819, 9.4721248 47.1635271, 9.4719893 47.1636721, 9.4716665 47.1643089, 9.4717213 47.1643657, 9.4724937 47.1646263, 9.4727242 47.1644421, 9.4734043 47.1639797))",,,,,,,,,,"[6869516975, 6869516976, 6869516977, 6869516978, 6869516979, 6869516980, 6869516981, 6869516982, 6869516975]",,,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,node/253909831,253909831,node,Migros,Q680727,en:Migros,,,,,Migros,supermarket,yes,POINT (9.5378606 47.3773676),"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-17:00; PH off",Altstätten,CH,2,9450,Stossstrasse,,Genossenschaft Migros Ostschweiz,,,,,,,Migros Altstätten SG,Altstätten SG,https://filialen.migros.ch/de/migros-supermarkt-altstaetten-sg,,-1;0,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,node/276847742,276847742,node,Migros,Q680727,en:Migros,,,,,Migros,supermarket,yes,POINT (9.3920818 47.4356824),Mo-Fr 08:00-19:00; Th 08:00-21:00; Sa 07:30-17:00; PH off,St. Gallen,,29,9008,Bachstrasse,,Genossenschaft Migros Ostschweiz,,,,,,,Migros St. Fiden (MM),St. Gallen St. Fiden,https://filialen.migros.ch/de/migros-supermarkt-st-gallen-st-fiden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
