,unique_id,osmid,element_type,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,brand,brand:wikidata,brand:wikipedia,cash_withdrawal,cash_withdrawal:fee,cash_withdrawal:purchase_required,cash_withdrawal:type,name,name:de,opening_hours,operator,phone,shop,geometry,wheelchair,access,amenity,fee,layer,parking,branch,nodes,building,toilets:wheelchair,alt_name,ele,website,diet:halal,diet:kosher,internet_access,check_date:opening_hours,payment:cash,payment:debit_cards,entrance,level,source,opening_hours:covid19,payment:coins,payment:credit_cards,fixme,addr:place,indoor,payment:twint,bus,highway,network,public_transport,uic_name,uic_ref,wheelchair:description,access:covid19,changing_table,organic,fax,contact:phone,addr:state,building:roof,addr:housename,contact:website,smoothness,surface,payment:cryptocurrencies,payment:maestro,payment:mastercard,payment:postfinance_card,payment:visa,start_date,capacity:disabled,maxstay,source:opening_hours,takeaway,check_date,capacity,operator:wikidata,name:en,building:material,roof:colour,building:levels,roof:shape,roof:levels,park_ride,supervised,post_box:location,kids_area,internet_access:fee,description,emergency,emergency:phone,delivery:covid19,room,wikidata,lit,disused:shop,operator:type,payment:contactless,toilets,payment:notes,payment:telephone_cards,toilets:access,smoking,landuse
0,node/357198361,357198361,node,Fiesch,CH,46,3984,Furkastrasse,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,Migros,Migros,Mo-Su 08:00-19:00,Migros,+41587264005,supermarket,POINT (8.1355456 46.4039727),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,node/357299653,357299653,node,,,,,,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,Migros,,,,,supermarket,POINT (7.8798336 46.2931375),yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,node/1976199305,1976199305,node,,,,,,Migros,Q680727,,,,,,Migros,,,,,supermarket,POINT (7.9900138 46.3253476),yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,node/9149897062,9149897062,node,,,,,,Migros,Q680727,en:Migros,,,,,Migros,,"Mo-Fr 08:00-12:00,13:30-18:30; Sa 08:00-16:00",,,supermarket,POINT (8.0157903 46.3356653),,,,,,,Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,way/36917534,36917534,way,,,,,,,,,,,,,Migros,,,,,,"POLYGON ((7.8796376 46.2908278, 7.8798086 46.2908402, 7.8801864 46.2908737, 7.8800947 46.2910661, 7.8800274 46.291051, 7.8799408 46.2912348, 7.8798981 46.2913355, 7.8798688 46.2914008, 7.8796795 46.2918191, 7.8794455 46.2918026, 7.8796376 46.2908278))",,,parking,yes,1,multi-storey,,"[429340382, 429340389, 429340383, 3439690052, 3439690051, 429340384, 429340388, 429340385, 429340386, 429340387, 429340382]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,way/220392398,220392398,way,,,58,,Kantonsstrasse,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,Migros,,,Migros,,supermarket,"POLYGON ((7.9687689 46.308947, 7.9697184 46.309866, 7.9697541 46.3098775, 7.9697973 46.3098793, 7.9698364 46.3098734, 7.9706833 46.3094611, 7.9702343 46.309021, 7.9702555 46.3090107, 7.9700965 46.3088549, 7.9700727 46.3088665, 7.9699855 46.3087811, 7.9699375 46.3088044, 7.9698911 46.3087589, 7.9698075 46.3087096, 7.9697141 46.3086746, 7.9696202 46.3086504, 7.9695046 46.3086392, 7.9693855 46.3086341, 7.9692664 46.3086413, 7.969139 46.3086691, 7.9690002 46.308733, 7.9687743 46.3088358, 7.9687367 46.3088877, 7.9687689 46.308947))",yes,,,,,,,"[2295192130, 2295192135, 6832257636, 6832257635, 2295192139, 2295192157, 6832257606, 6832257607, 2295192159, 6832257608, 2295192162, 6832257609, 6832257610, 6832257616, 6832257611, 6832257615, 6832257614, 6832257613, 6832257612, 2295192169, 6506278943, 2295192171, 2295192173, 2295192130]",yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,way/273477293,273477293,way,,,,,,Migros,Q680727,,postfinance_card,no,no,checkout,Migros,,,Migros,,supermarket,"POLYGON ((7.9894889 46.3188182, 7.9893696 46.3187877, 7.9892864 46.3187571, 7.9895761 46.3183977, 7.9897746 46.3184737, 7.9894889 46.3188182))",yes,,,,,,,"[2783253262, 2783253263, 2783253264, 2783253265, 2783253266, 2783253262]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,way/37901724,37901724,way,Meiringen,CH,1,3860,Bahnhofstrasse,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,,"Mo-Fr 08:00-19:00, Sa 08:00-18:00; PH off",Genossenschaft Migros Aare,,supermarket,"POLYGON ((8.1846072 46.7285433, 8.1846499 46.7285368, 8.1846668 46.7285891, 8.1847697 46.7285723, 8.1848202 46.7287247, 8.1850836 46.7286206, 8.1850677 46.7285723, 8.1851288 46.7285629, 8.1851313 46.7285706, 8.185349 46.7284848, 8.185272 46.7283926, 8.1852624 46.728394, 8.1851997 46.7282044, 8.1850209 46.7282323, 8.1850285 46.7282555, 8.185012 46.7282408, 8.1849851 46.72824, 8.184969 46.7282502, 8.1849662 46.7282651, 8.1849273 46.7281474, 8.1846435 46.7281918, 8.1847128 46.7284007, 8.1846488 46.7284142, 8.1846216 46.728429, 8.1846027 46.7284475, 8.1845922 46.7284689, 8.1845908 46.7284914, 8.1846072 46.7285433))",,,,,,,Meiringen,"[1989392637, 1989392636, 1989392641, 1989392640, 444825381, 1989392642, 1989392639, 5214201537, 1989392638, 444825380, 5214201536, 1989392630, 444825378, 5214201535, 5214201534, 5214201533, 5214201532, 1989392629, 5214201531, 1989392628, 444825377, 1989392631, 1989392632, 1989392633, 1989392634, 5214201530, 1989392635, 1989392637]",retail,,Migros Meiringen (MM),596,https://filialen.migros.ch/de/migros-supermarkt-meiringen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,way/37901866,37901866,way,,,,,,,,,,,,,Migros,,,,,,"POLYGON ((8.184664 46.7287897, 8.1848356 46.7292623, 8.184902 46.7292554, 8.184925 46.7293375, 8.1855175 46.7292437, 8.1853686 46.7287536, 8.1853053 46.7287648, 8.1852626 46.7286483, 8.1851933 46.7285672, 8.184664 46.7287897))",,yes,parking,yes,,surface,,"[444827336, 2921842962, 2921842961, 444827337, 444827338, 2921842959, 2921842960, 444827342, 2921842957, 444827336]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,way/172140332,172140332,way,Brienz BE,CH,49,3855,Hauptstrasse,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,Migros,,,,,supermarket,"POLYGON ((8.0281874 46.7552052, 8.0281037 46.7551111, 8.0279362 46.7551814, 8.0279768 46.7552276, 8.0279973 46.755219, 8.0280401 46.7552671, 8.0281874 46.7552052))",,,,,,,,"[1830710392, 1830710364, 1830710386, 5223436922, 5223436923, 5223436924, 1830710392]",yes,,,568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
