,unique_id,osmid,element_type,brand,brand:wikidata,brand:wikipedia,cash_withdrawal,cash_withdrawal:fee,cash_withdrawal:purchase_required,cash_withdrawal:type,name,opening_hours,operator,shop,wheelchair,geometry,bus,highway,public_transport,addr:city,addr:country,addr:postcode,addr:street,toilets:wheelchair,addr:suburb,contact:phone,nodes,building,addr:housename,addr:housenumber,branch,phone,alt_name,website,check_date:opening_hours,organic,source,wheelchair:description,level,opening_hours:covid19,post_box:location,payment:twint,kids_area,internet_access,internet_access:fee,description,emergency,emergency:phone,building:levels,delivery:covid19,indoor,room,source:opening_hours,takeaway,addr:place,check_date,entrance,start_date,amenity,capacity,fee,parking,access,operator:wikidata,name:en,layer,building:material,payment:cash,payment:credit_cards,payment:debit_cards,roof:colour,building:roof,payment:postfinance_card,surface,capacity:disabled,maxstay,roof:shape,roof:levels,park_ride,supervised,wikidata,lit,disused:shop,fixme,operator:type,payment:contactless,toilets,payment:coins,payment:notes,payment:telephone_cards,landuse,toilets:access,name:it,payment:maestro,smoking
0,node/348830422,348830422,node,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,Migros,"Mo-We, Fr 08:00-19:00; Th 08:00-21:00; Sa 08:00-18:30",Migros,supermarket,yes,POINT (8.795867 46.165649),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,node/702121805,702121805,node,,,,postfinance_card,no,no,checkout,Migros,,,supermarket,,POINT (8.9411898 46.0163953),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,node/806598496,806598496,node,Migros,Q680727,,postfinance_card,no,no,checkout,Migros,Mo-Fr 08:00-19:00; Sa 08:00-18:30,,supermarket,,POINT (8.7737223 46.1541722),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,node/897667906,897667906,node,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,Migros,,,supermarket,,POINT (8.9390942 46.0097799),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,node/3040046067,3040046067,node,,,,,,,,Migros,,,,yes,POINT (8.7967103 46.1663789),yes,bus_stop,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,node/3243137284,3243137284,node,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,Migros,,,supermarket,,POINT (8.9366113 45.8484501),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,node/3493404911,3493404911,node,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,Migros,Mo-Fr 08:00-18:30; Th 08:00-21:00; Sa 08:00-18:00,,supermarket,yes,POINT (8.9314761 46.0608612),,,,Taverne-Torricella,CH,6807,Via Cantonale,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,node/5072974691,5072974691,node,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,Migros,,Migros,supermarket,,POINT (8.9435175 45.9913154),,,,Lugano,CH,,,,Paradiso,+41 91 821 72 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,node/5686249444,5686249444,node,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,Migros,,,supermarket,yes,POINT (8.8764864 45.9772572),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,node/6952775543,6952775543,node,Migros,Q680727,en:Migros,,,,,Migros,,,supermarket,,POINT (8.9256188 45.970454),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
