,unique_id,osmid,element_type,brand,brand:wikidata,brand:wikipedia,name,shop,geometry,cash_withdrawal,cash_withdrawal:fee,cash_withdrawal:purchase_required,cash_withdrawal:type,wheelchair,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,alt_name,opening_hours,contact:phone,operator,phone,nodes,building,building:levels,roof:levels,roof:shape,branch,level,organic,payment:cash,payment:maestro,toilets:wheelchair,website,amenity,entrance,access,capacity:disabled,fee,lit,parking,surface,start_date,source,smoking,capacity,landuse,bus,highway,public_transport,name:it,addr:suburb,addr:housename,toilets,toilets:access,check_date:opening_hours,wheelchair:description,opening_hours:covid19,payment:twint,internet_access,addr:place,payment:coins,payment:contactless,payment:credit_cards,payment:debit_cards,payment:notes,payment:telephone_cards,kids_area,building:material,roof:colour,payment:postfinance_card,name:de,ele,source:opening_hours,takeaway,check_date,diet:halal,diet:kosher,post_box:location,network,uic_name,uic_ref,indoor,layer,internet_access:fee,description,emergency,emergency:phone,fixme,delivery:covid19,room,maxheight,building:part,payment:mastercard,payment:visa,departures_board,access:covid19,changing_table,contact:website,dog,building:roof
0,node/8355820995,8355820995,node,Migros,Q680727,en:Migros,Migros,supermarket,POINT (9.9076772 45.7490977),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,node/8922195923,8922195923,node,Migros,Q680727,en:Migros,Migros,supermarket,POINT (9.8740293 46.5309019),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,node/797682885,797682885,node,Migros,Q680727,en:Migros,Migros,supermarket,POINT (9.8381626 46.807355),postfinance_card,no,no,checkout,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,node/3718116857,3718116857,node,Migros,Q680727,en:Migros,Migros,supermarket,POINT (9.8326111 46.8016213),postfinance_card,no,no,checkout,yes,Davos,CH,105,7270,Promenade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,node/4537977467,4537977467,node,Migros,Q680727,en:Migros,Migros,supermarket,POINT (9.8213755 46.7935149),postfinance_card,no,no,checkout,,,CH,40,7270,Promenade,Migros Davos Rätia,Mo-Fr 07:30-19:00; Sa 07:30-18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,node/506065975,506065975,node,Migros,Q680727,en:Migros,Migros,supermarket,POINT (9.5275214 46.8516483),postfinance_card,no,no,checkout,yes,Chur,CH,28,7000,Gäuggelistrasse,,,+41 81 256 52 11,Genossenschaft Migros Ostschweiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,node/1216746469,1216746469,node,Migros,Q680727,en:Migros,Migros,supermarket,POINT (9.4398988 46.6943034),postfinance_card,no,no,checkout,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,node/3292087340,3292087340,node,Migros,Q680727,,Migros,supermarket,POINT (9.5137281 46.8460758),postfinance_card,no,no,checkout,yes,Chur,CH,1,7000,Pargherastrasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,node/3292349968,3292349968,node,Migros,Q680727,en:Migros,Migros,supermarket,POINT (9.5618886 46.9677982),postfinance_card,no,no,checkout,yes,Landquart,CH,54,7302,Bahnhofstrasse,,Mo-Fr 07:00-19:30; Sa 08:00-18:00,,,+41587125900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,node/5869402307,5869402307,node,Migros,Q680727,en:Migros,Migros,supermarket,POINT (9.2076589 46.774599),postfinance_card,no,no,checkout,,Ilanz,,4,7130,Poststrasse,,Mo-Fr 08:00-20:00; Sa 08:00-17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,node/6010836383,6010836383,node,Migros,Q680727,en:Migros,Migros,supermarket,POINT (9.5348387 46.8714286),postfinance_card,no,no,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,node/6481587073,6481587073,node,Migros,Q680727,en:Migros,Migros,supermarket,POINT (9.543732 46.7778897),postfinance_card,no,no,checkout,,,,,,,,Mo-Fr 08:00-18:00; Sa 08:00-18:00; Su 09:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
