,unique_id,osmid,element_type,cash_withdrawal,cash_withdrawal:fee,cash_withdrawal:purchase_required,cash_withdrawal:type,name,shop,geometry,brand,brand:wikidata,brand:wikipedia,addr:city,addr:country,addr:postcode,addr:street,opening_hours,toilets:wheelchair,wheelchair,operator,name:it,addr:suburb,contact:phone,nodes,addr:housenumber,branch,building,addr:housename,website,phone,bus,highway,public_transport,alt_name,check_date:opening_hours,organic,level,opening_hours:covid19,post_box:location,source,payment:twint,kids_area,internet_access,internet_access:fee,building:levels,delivery:covid19,indoor,room,name:de,access,amenity,fee,layer,parking,ele,diet:halal,diet:kosher,payment:cash,payment:debit_cards,payment:coins,payment:credit_cards,description,emergency,emergency:phone,fixme,addr:place,capacity:disabled,lit,maxheight,surface,covered,supervised,source:addr,landuse,building:part,payment:maestro,payment:mastercard,payment:visa,contact:addr:full,internet_access:ssid,disused:shop,contact:website,recycling:batteries,wheelchair:description,contact:addr,operator:wikidata,addr:full,opening_hours:url,post_office,post_office:letter_from,post_office:parcel_from,post_office:parcel_pickup,post_office:parcel_to,self_service,contact:city,contact:housenumber,contact:postcode,contact:street,addr:floor,check_date,payment:american_express,payment:contactless,payment:diners_club,payment:jcb,payment:postfinance_card,roof:levels,nat_name,url,recycling:electrical_appliances,smoking,capacity,changing_table,changing_table:location,addr:street:fr,dog,official_name,takeaway,man_made,surveillance,level:ref,recycling:cans,recycling:clothes,recycling:glass,recycling:paper,recycling:pe,recycling:pet,dogs,post_office:brand,atm,contact:facebook,contact:instagram,contact:linkedin,contact:pinterest,contact:twitter,contact:youtube,note,payment:visa_debit,fax,indoor_seating,outdoor_seating,opening_date,copyright,oa:imported_by,oa:lat,oa:lon,oa:version
0,node/702121805,702121805,node,postfinance_card,no,no,checkout,Migros,supermarket,POINT (8.9411898 46.0163953),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,node/897667906,897667906,node,postfinance_card,no,no,checkout,Migros,supermarket,POINT (8.9390942 46.0097799),Migros,Q680727,en:Migros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,node/3243137284,3243137284,node,postfinance_card,no,no,checkout,Migros,supermarket,POINT (8.9366113 45.8484501),Migros,Q680727,en:Migros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,node/3493404911,3493404911,node,postfinance_card,no,no,checkout,Migros,supermarket,POINT (8.9314761 46.0608612),Migros,Q680727,en:Migros,Taverne-Torricella,CH,6807,Via Cantonale,Mo-Fr 08:00-18:30; Th 08:00-21:00; Sa 08:00-18:00,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,node/3758933750,3758933750,node,,,,,Migros,supermarket,POINT (8.9657502 46.0062192),Migros,Q680727,en:Migros,Lugano,CH,6900,Viale Castagnola,Mo-Sa 08:00-19:00,,,Migros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,node/4603794691,4603794691,node,postfinance_card,no,no,checkout,Migros,supermarket,POINT (8.9672526 46.0235381),,,,,,,,,,,,Migros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,node/5072974691,5072974691,node,postfinance_card,no,no,checkout,Migros,supermarket,POINT (8.9435175 45.9913154),Migros,Q680727,en:Migros,Lugano,CH,,,,,,Migros,,Paradiso,+41 91 821 72 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,node/5686249444,5686249444,node,postfinance_card,no,no,checkout,Migros,supermarket,POINT (8.8764864 45.9772572),Migros,Q680727,en:Migros,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,node/6952775543,6952775543,node,,,,,Migros,supermarket,POINT (8.9256188 45.970454),Migros,Q680727,en:Migros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,way/113684683,113684683,way,,,,,Migros,supermarket,"POLYGON ((8.9675184 46.0669436, 8.9672912 46.0668381, 8.96716 46.066974, 8.9673062 46.067042, 8.9673245 46.0670229, 8.9674056 46.0670606, 8.9675184 46.0669436))",Migros,Q680727,en:Migros,Tesserete,,6950,Via Luigi Canonica,,,,,,,,"[1288839492, 1288839491, 1288839497, 1288839493, 1288839502, 1288839494, 1288839492]",40,Ticino,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,way/152507487,152507487,way,postfinance_card,no,no,checkout,Migros,supermarket,"POLYGON ((8.9053559 45.9991254, 8.905226 45.9988596, 8.9053435 45.9988319, 8.9052311 45.998602, 8.9054434 45.9985519, 8.9053109 45.9982808, 8.9054283 45.9982532, 8.9053992 45.9981937, 8.9058223 45.9980939, 8.906145 45.9987541, 8.906074 45.9987709, 8.9061265 45.9988782, 8.9060396 45.9988987, 8.9061142 45.9990513, 8.9060686 45.9990621, 8.9061112 45.9991492, 8.9059734 45.9991817, 8.9059285 45.9990899, 8.9055131 45.9991879, 8.9054694 45.9990986, 8.9053559 45.9991254))",Migros,Q680727,en:Migros,,,,,,,yes,,,,,"[1653259312, 1653259288, 1653259287, 1653259284, 1653259283, 1653259282, 1653259280, 1653259279, 1653259276, 1653259285, 1653259286, 1653259289, 1653259291, 1653259303, 1653259305, 1653259317, 1653259320, 1653259308, 1653259321, 1653259310, 1653259312]",,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,way/304782878,304782878,way,,,,,Migros,supermarket,"POLYGON ((8.9522222 46.0073791, 8.9520436 46.0068793, 8.9518989 46.006902, 8.9514784 46.0069817, 8.9516134 46.0073832, 8.9516644 46.007377, 8.9516915 46.0074455, 8.9518684 46.0074114, 8.9518775 46.0074372, 8.9520682 46.0074049, 8.9522222 46.0073791))",Migros,Q680727,en:Migros,,,,Via Pretorio,,,,,,,,"[3093834084, 3093834099, 3093836579, 3093834092, 9484701048, 9484701047, 3093834087, 9484701049, 9484701050, 3093834094, 3093834084]",15,Lugano Centro,yes,Migros Lugano Centro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,node/348830422,348830422,node,postfinance_card,no,no,checkout,Migros,supermarket,POINT (8.795867 46.165649),Migros,Q680727,en:Migros,,,,,"Mo-We, Fr 08:00-19:00; Th 08:00-21:00; Sa 08:00-18:30",,yes,Migros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,node/415255849,415255849,node,postfinance_card,no,no,checkout,Migros,supermarket,POINT (8.9619063 46.1539555),Migros,Q680727,en:Migros,,,,,,,,,,,,,,,,,http://filialen.migros.ch/it/#/CentroS.Antonino/0125020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,node/723124725,723124725,node,postfinance_card,no,no,checkout,Migros,supermarket,POINT (8.8506817 46.1806002),Migros,Q680727,,,,,,,,,Migros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
