,unique_id,osmid,element_type,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,brand,brand:wikidata,brand:wikipedia,cash_withdrawal,cash_withdrawal:fee,cash_withdrawal:purchase_required,cash_withdrawal:type,contact:phone,name,operator,shop,wheelchair,geometry,opening_hours,phone,nodes,building,amenity,building:levels,roof:levels,roof:shape,alt_name,branch,website,smoking,source,landuse,level,organic,payment:cash,payment:maestro,toilets:wheelchair,access,capacity,fee,layer,parking,wikidata,start_date,entrance,capacity:disabled,lit,surface,disused:shop,internet_access,addr:housename,toilets,bus,highway,public_transport,name:it,addr:suburb,toilets:access,wheelchair:description,check_date:opening_hours,opening_hours:covid19,payment:twint,payment:coins,payment:contactless,payment:credit_cards,payment:debit_cards,payment:notes,payment:telephone_cards,kids_area,payment:postfinance_card,addr:place,maxheight,building:roof,fixme,operator:type,maxstay,ele,diet:halal,diet:kosher,post_box:location,internet_access:fee,description,emergency,emergency:phone,building:material,roof:colour,indoor,delivery:covid19,room,source:opening_hours,takeaway,check_date,network,uic_name,uic_ref,operator:wikidata,name:en,smoothness,contact:website,park_ride,supervised,payment:cryptocurrencies,payment:mastercard,payment:visa,name:de,building:part,departures_board,dog,loc_name,end_date,access:covid19,changing_table,fax,addr:state,post_office,post_office:brand,contact:addr:full,internet_access:ssid,recycling:batteries,contact:addr,post_office:letter_from,post_office:parcel_from,post_office:parcel_pickup,post_office:parcel_to,recycling:electrical_appliances,level:ref,opening_hours:url,covered,self_service,contact:city,contact:housenumber,contact:postcode,contact:street,addr:floor,payment:american_express,payment:diners_club,payment:jcb,source:addr,changing_table:location,addr:full,addr:street:fr,official_name,man_made,surveillance
0,node/506065975,506065975,node,Chur,CH,28,7000,Gäuggelistrasse,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,+41 81 256 52 11,Migros,Genossenschaft Migros Ostschweiz,supermarket,yes,POINT (9.5275214 46.8516483),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,node/1216746469,1216746469,node,,,,,,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,,Migros,,supermarket,yes,POINT (9.4398988 46.6943034),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,node/3292087340,3292087340,node,Chur,CH,1,7000,Pargherastrasse,Migros,Q680727,,postfinance_card,no,no,checkout,,Migros,,supermarket,yes,POINT (9.5137281 46.8460758),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,node/3292349968,3292349968,node,Landquart,CH,54,7302,Bahnhofstrasse,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,,Migros,,supermarket,yes,POINT (9.5618886 46.9677982),Mo-Fr 07:00-19:30; Sa 08:00-18:00,+41587125900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,node/5869402307,5869402307,node,Ilanz,,4,7130,Poststrasse,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,,Migros,,supermarket,,POINT (9.2076589 46.774599),Mo-Fr 08:00-20:00; Sa 08:00-17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,node/6010836383,6010836383,node,,,,,,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,,Migros,,supermarket,,POINT (9.5348387 46.8714286),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,node/6481587073,6481587073,node,,,,,,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,,Migros,,supermarket,,POINT (9.543732 46.7778897),Mo-Fr 08:00-18:00; Sa 08:00-18:00; Su 09:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,way/322432266,322432266,way,Chur,CH,91,7000,Ringstrasse,Migros,Q680727,,postfinance_card,no,no,checkout,,Migros,,supermarket,yes,"POLYGON ((9.5209931 46.8576294, 9.5211102 46.8576795, 9.5210392 46.857757, 9.52106 46.8577659, 9.5209735 46.8578604, 9.520865 46.8578139, 9.520873 46.8578051, 9.5208436 46.8577925, 9.5209931 46.8576294))",,,"[3292030485, 3292030486, 3292030487, 3292030488, 3292030489, 3292030490, 3292030491, 3292030492, 3292030485]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,node/618770878,618770878,node,,,,,,Migros,Q680727,en:Migros,,,,,,Migros,,supermarket,yes,POINT (9.4728537 47.1638879),"Mo,Tu,Th 08:00-19:00, We,Fr 08:00-20:00, Sa 08:00-17:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,node/1212383406,1212383406,node,Schaan,LI,2,9494,Im Rösle,Migros,Q680727,en:Migros,,,,,,Migros,Migros Ostschweiz,supermarket,yes,POINT (9.5040703 47.1685984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,node/4947270215,4947270215,node,,,,,,Migros,Q680727,,postfinance_card,no,no,checkout,,Migros,,supermarket,,POINT (9.430805 47.0423429),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,node/6453115183,6453115183,node,,,33,,Landstrasse,Migros,Q680727,en:Migros,,,,,,Migros,,supermarket,,POINT (9.5236964 47.2393916),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,node/9798311255,9798311255,node,,,,,,Migros,Q680727,,,,,,,Migros,,supermarket,,POINT (9.5254917 47.1087627),Mo-Fr 07:00-19:00; Sa 07:00-17:00; Su 08:00-17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,way/44368140,44368140,way,,,2,,Bahnhofstrasse,Migros,Q680727,en:Migros,postfinance_card,no,no,checkout,,Migros,Micros,supermarket,,"POLYGON ((9.5014461 47.0036875, 9.5012376 47.0033886, 9.5014105 47.0033272, 9.5014366 47.0033595, 9.5014673 47.003395, 9.5016213 47.0036302, 9.5014461 47.0036875))",Mo-Fr 07:00-19:00; Sa 07:00-17:00,,"[563881046, 563881047, 563881049, 563881050, 563881051, 563881052, 563881046]",apartments,,3,1,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,way/70295844,70295844,way,Walenstadt,CH,27,8880,Bahnhofstrasse,Migros,Q680727,en:Migros,migros_bank;postfinance_card,no,no,checkout,,Migros,Genossenschaft Migros Ostschweiz,supermarket,,"POLYGON ((9.3135442 47.1219898, 9.3138298 47.1219144, 9.3138142 47.1218891, 9.3141493 47.1217855, 9.3139987 47.12155, 9.3138025 47.1216027, 9.3137801 47.1216127, 9.3136573 47.121648, 9.31365 47.1216382, 9.3133675 47.1217223, 9.3134688 47.1218757, 9.313494 47.1218672, 9.3135058 47.1218878, 9.3134817 47.1218953, 9.3135442 47.1219898))",Mo-Fr 07:30-19:00; Sa 07:30-17:00; PH off,+41 81 720 23 51,"[839162469, 9580378520, 9580378521, 839162298, 839162075, 9580378524, 9580378523, 9580378522, 9580378525, 839162031, 9580378527, 9580378528, 9580378529, 9580378526, 839162469]",yes,,,,,Migros Walenstadt,Walenstadt,https://filialen.migros.ch/de/migros-supermarkt-walenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
